YearID	TeamID	LeagueID	PlayerID	POS	Salary	yearID	teamID	lgID	G	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	IBB	HBP	SH	SF	GIDP	OBP	SLG	DumbC	DumbI
2004	COL	NL	johnsch04	C	9000000	2003	COL	NL	108	356	49	82	20	0	20	61	1	3	49	84	2	1	1	7	8	0.319	0.455	1	0
2004	NYA	AL	posadjo01	C	9000000	2003	NYA	AL	142	481	83	135	24	0	30	101	2	4	93	110	6	10	0	4	13	0.405	0.518	1	0
2003	CHA	AL	ordonma01	OF	9000000	2002	CHA	AL	153	590	116	189	47	1	38	135	7	5	53	77	2	7	0	3	21	0.381	0.597	0	0
2004	KCA	AL	beltrca01	OF	9000000	2003	KCA	AL	141	521	102	160	14	10	26	100	41	4	72	81	4	2	0	7	8	0.389	0.522	0	0
2004	COL	NL	wilsopr01	OF	9000000	2003	COL	NL	155	600	94	169	43	1	36	141	14	7	54	139	1	4	0	3	23	0.343	0.537	0	0
2001	CIN	NL	larkiba01	SS	9000000	2000	CIN	NL	102	396	71	124	26	5	11	41	14	6	48	31	0	1	2	0	10	0.387	0.487	0	1
2002	CIN	NL	larkiba01	SS	9000000	2001	CIN	NL	45	156	29	40	12	0	2	17	3	2	27	25	2	2	0	0	2	0.373	0.372	0	1
2003	CIN	NL	larkiba01	SS	9000000	2002	CIN	NL	145	507	72	124	37	2	7	47	13	4	44	57	9	3	6	7	13	0.302	0.367	0	1
2004	DET	AL	higgibo02	OF	8850000	2003	DET	AL	130	469	61	110	13	4	14	52	8	8	59	73	3	3	1	6	12	0.32	0.369	0	0
2003	PIT	NL	gilesbr02	OF	8833333	2002	PIT	NL	153	497	95	148	37	5	38	103	15	6	135	74	24	7	0	5	10	0.45	0.622	0	0
2004	SDN	NL	gilesbr02	OF	8833333	2003	PIT	NL	105	388	70	116	30	4	16	70	0	3	85	48	11	6	0	2	8	0.43	0.521	0	0
2002	HOU	NL	biggicr01	2B	8750000	2001	HOU	NL	155	617	118	180	35	3	20	70	7	4	66	100	4	28	0	6	11	0.382	0.455	0	1
2002	TBA	AL	vaughgr01	OF	8750000	2001	TBA	AL	136	485	74	113	25	0	24	82	11	5	71	130	7	3	0	3	10	0.333	0.433	0	0
2004	MIL	NL	jenkige01	OF	8737500	2003	MIL	NL	124	487	81	144	30	2	28	95	0	0	58	120	10	6	0	3	12	0.375	0.538	0	0
2004	ARI	NL	sexsori01	1B	8725000	2003	MIL	NL	162	606	97	165	28	2	45	124	2	3	98	151	7	9	0	5	18	0.379	0.548	0	0
2002	TEX	AL	palmera01	1B	8712986	2001	TEX	AL	160	600	98	164	33	0	47	123	1	1	101	90	8	7	0	6	8	0.381	0.563	0	0
2002	TEX	AL	evereca01	OF	8666666	2001	BOS	AL	102	409	61	105	24	4	14	58	9	2	27	104	3	13	0	0	3	0.323	0.438	0	0
2004	SLN	NL	rolensc01	3B	8625000	2003	SLN	NL	154	559	98	160	49	1	28	104	13	3	82	104	5	9	0	7	19	0.382	0.528	0	1
2002	PHI	NL	rolensc01	3B	8600000	2001	PHI	NL	151	554	96	160	39	1	25	107	16	5	74	127	6	13	0	12	6	0.378	0.498	0	1
2003	PIT	NL	kendaja01	C	8571429	2002	PIT	NL	145	545	59	154	25	3	3	44	15	8	49	29	1	9	0	2	11	0.35	0.356	1	0
2004	PIT	NL	kendaja01	C	8571429	2003	PIT	NL	150	587	84	191	29	3	6	58	8	7	49	40	3	25	1	3	9	0.398	0.416	1	0
2002	CIN	NL	griffke02	OF	8557223	2001	CIN	NL	111	364	57	104	20	2	22	65	2	0	44	72	6	4	1	4	8	0.365	0.533	0	0
2002	NYA	AL	venturo01	3B	8500000	2001	NYN	NL	142	456	70	108	20	0	21	61	2	5	88	101	10	1	0	4	13	0.359	0.419	0	1
2003	HOU	NL	hidalri01	OF	8500000	2002	HOU	NL	114	388	54	91	17	4	15	48	6	2	43	85	1	6	0	2	13	0.319	0.415	0	0
2004	SDN	NL	nevinph01	OF	8500000	2003	SDN	NL	59	226	30	63	8	0	13	46	2	0	21	44	1	0	0	1	9	0.339	0.487	0	0
2003	CHN	NL	karroer01	1B	8375000	2002	LAN	NL	142	524	52	142	26	1	13	73	4	2	37	74	1	6	0	6	11	0.323	0.399	0	0
2003	SLN	NL	edmonji01	OF	8333333	2002	SLN	NL	144	476	96	148	31	2	28	83	4	3	86	134	14	8	0	6	9	0.42	0.561	0	0
2001	TBA	AL	vaughgr01	OF	8250000	2000	TBA	AL	127	461	83	117	27	1	28	74	8	1	80	128	3	2	0	2	10	0.365	0.499	0	0
2004	ARI	NL	gonzalu01	OF	8250000	2003	ARI	NL	156	579	92	176	46	4	26	104	5	3	94	67	17	3	0	3	19	0.402	0.532	0	0
2001	TEX	AL	rodriiv01	C	8200000	2000	TEX	AL	91	363	66	126	27	4	27	83	5	5	19	48	5	1	0	6	17	0.375	0.667	1	0
2001	ATL	NL	jonesan01	OF	8200000	2000	ATL	NL	161	656	122	199	36	6	36	104	21	6	59	100	0	9	0	5	12	0.366	0.541	0	0
2003	MIL	NL	hammoje01	OF	8200000	2002	MIL	NL	128	448	47	115	26	5	9	41	4	5	52	86	0	2	1	7	13	0.331	0.397	0	0
2001	SLN	NL	lankfra01	OF	8100000	2000	SLN	NL	128	392	73	99	16	3	26	65	5	6	70	148	1	4	0	6	6	0.367	0.508	0	0
2002	SDN	NL	lankfra01	OF	8100000	2001	SLN	NL	91	264	38	62	18	3	15	39	4	2	44	105	8	2	1	3	4	0.344	0.496	0	0
2002	PIT	NL	gilesbr02	OF	8063003	2001	PIT	NL	160	576	116	178	37	7	37	95	13	6	90	67	14	4	0	4	10	0.404	0.590	0	0
2001	ARI	NL	bellja01	2B	8050000	2000	ARI	NL	149	565	87	151	30	6	18	68	7	3	70	88	0	3	6	5	7	0.345	0.437	0	1
2002	KCA	AL	sweenmi01	1B	8000000	2001	KCA	AL	147	559	97	170	46	0	29	99	10	3	64	64	13	2	1	6	13	0.373	0.542	0	0
2002	CLE	AL	thomeji01	1B	8000000	2001	CLE	AL	156	526	101	153	26	1	49	124	0	1	111	185	14	4	0	3	9	0.416	0.624	0	0
2004	CHA	AL	konerpa01	1B	8000000	2003	CHA	AL	137	444	49	104	19	0	18	65	0	0	43	50	7	4	0	4	28	0.305	0.399	0	0
2002	SEA	AL	boonebr01	2B	8000000	2001	SEA	AL	158	623	118	206	37	3	37	141	5	5	40	110	5	9	5	13	11	0.37	0.578	0	1
2003	NYN	NL	alomaro01	2B	8000000	2002	NYN	NL	149	590	73	157	24	4	11	53	16	4	57	83	4	1	6	1	12	0.328	0.376	0	1
2003	SEA	AL	boonebr01	2B	8000000	2002	SEA	AL	155	608	88	169	34	3	24	107	12	5	53	102	4	6	2	6	11	0.338	0.462	0	1
2004	SEA	AL	boonebr01	2B	8000000	2003	SEA	AL	159	622	111	183	35	5	35	117	16	3	68	125	3	7	1	7	17	0.366	0.535	0	1
2001	NYN	NL	venturo01	3B	8000000	2000	NYN	NL	141	469	61	109	23	1	24	84	3	5	75	91	12	2	1	4	14	0.338	0.439	0	1
2002	ARI	NL	bellja01	3B	8000000	2001	ARI	NL	129	428	59	106	24	1	13	46	0	1	65	79	3	4	8	4	9	0.344	0.400	0	1
2003	NYA	AL	posadjo01	C	8000000	2002	NYA	AL	143	511	79	137	40	1	20	99	1	0	81	143	9	3	0	3	23	0.37	0.468	1	0
2001	CLE	AL	loftoke01	OF	8000000	2000	CLE	AL	137	543	107	151	23	5	15	73	30	7	79	72	3	4	6	8	11	0.366	0.422	0	0
2002	MON	NL	guerrvl01	OF	8000000	2001	MON	NL	159	599	107	184	45	4	34	108	37	16	60	88	24	9	0	3	24	0.377	0.566	0	0
2002	DET	AL	palmede01	OF	8000000	2001	DET	AL	57	216	34	48	11	0	11	40	4	1	27	59	0	3	0	0	3	0.317	0.426	0	0
2004	BOS	AL	damonjo01	OF	8000000	2003	BOS	AL	145	608	103	166	32	6	12	67	30	6	68	74	4	2	6	6	5	0.342	0.405	0	0
2002	NYN	NL	alomaro01	2B	7939664	2001	CLE	AL	157	575	113	193	34	12	20	100	30	6	80	71	5	4	9	9	9	0.409	0.541	0	1
2001	CLE	AL	thomeji01	1B	7875000	2000	CLE	AL	158	557	106	150	33	1	37	106	1	0	118	171	4	4	0	5	8	0.398	0.531	0	0
2001	NYA	AL	justida01	OF	7800000	2000	NYA	AL	78	275	43	84	17	0	20	60	1	0	39	42	1	1	0	2	6	0.391	0.585	0	0
2001	HOU	NL	biggicr01	2B	7750000	2000	HOU	NL	101	377	67	101	13	5	8	35	12	2	61	73	3	16	7	5	10	0.382	0.393	0	1
2001	CLE	AL	alomaro01	2B	7750000	2000	CLE	AL	155	610	111	189	40	2	19	89	39	4	64	82	4	6	11	6	19	0.372	0.475	0	1
2001	ATL	NL	lopezja01	C	7750000	2000	ATL	NL	134	481	60	138	21	1	24	89	0	0	35	80	3	4	0	5	20	0.337	0.484	1	0
