YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA,Arbitration,Free Agency,
2000,CHN,NL,hillgl01,OF,1500000,1999,CHN,NL,99,253,43,76,9,1,20,55,5,1,22,61,1,0,0,3,7,0.353,0.581,0,0,279,0,0,
2000,CHN,NL,rodrihe02,OF,4600000,1999,CHN,NL,130,447,72,136,29,0,26,87,2,4,56,113,6,0,0,1,9,0.381,0.544,0,0,510,0,0,
2000,CHN,NL,sosasa01,OF,11000000,1999,CHN,NL,162,625,114,180,24,2,63,141,7,8,78,171,8,3,0,6,17,0.367,0.635,0,0,720,0,0,
2000,CHN,NL,nievejo01,SS,217500,1999,CHN,NL,54,181,16,45,9,1,2,18,0,2,8,25,0,4,3,3,5,0.286,0.343,0,1,199,0,0,
2000,CHN,NL,gaettga01,SS,350000,1999,CHN,NL,113,280,22,57,9,1,9,46,0,1,21,51,0,2,0,5,5,0.260,0.339,0,1,308,0,0,
2000,CIN,NL,lewisma01,3B,600000,1999,CIN,NL,88,173,18,44,16,0,6,28,0,0,7,24,1,0,2,2,8,0.277,0.451,0,1,185,0,1,
2000,CIN,NL,vaughgr01,OF,7097962,1999,CIN,NL,153,550,104,135,20,2,45,118,15,2,85,137,3,3,0,5,9,0.347,0.535,0,0,646,0,1,
2000,CIN,NL,caseyse01,1B,400000,1999,CIN,NL,151,594,103,197,42,3,25,99,0,2,61,88,13,9,0,5,15,0.399,0.539,0,0,682,0,0,
2000,CIN,NL,taubeed01,C,1400000,1999,CIN,NL,126,424,58,132,22,2,21,87,0,2,30,67,1,1,1,5,12,0.354,0.521,1,0,462,0,0,
2000,CIN,NL,tuckemi01,OF,1700000,1999,CIN,NL,133,296,55,75,8,5,11,44,11,4,37,81,3,3,0,4,5,0.338,0.426,0,0,343,0,0,
2000,CIN,NL,youngdm01,OF,1950000,1999,CIN,NL,127,373,63,112,30,2,14,56,3,1,30,71,1,2,0,4,11,0.352,0.504,0,0,410,0,0,
2000,CIN,NL,hammoje01,OF,3183333,1999,CIN,NL,123,262,43,73,13,0,17,41,3,6,27,64,0,1,2,1,4,0.345,0.523,0,0,293,0,0,
2000,CIN,NL,camermi01,OF,2225000,1999,CIN,NL,146,542,93,139,34,9,21,66,38,12,80,145,2,6,5,3,4,0.354,0.469,0,0,638,0,0,
2000,CIN,NL,reesepo01,SS,1950000,1999,CIN,NL,149,585,85,167,37,5,10,52,38,7,35,81,3,6,5,5,9,0.327,0.417,0,1,639,0,0,
2000,CIN,NL,larkiba01,SS,5300000,1999,CIN,NL,161,583,108,171,30,4,12,75,30,8,93,57,5,2,5,4,12,0.387,0.420,0,1,692,0,0,
2000,CIN,NL,booneaa01,SS,300000,1999,CIN,NL,139,472,56,132,26,5,14,72,17,6,30,79,2,8,5,5,6,0.327,0.445,0,1,522,0,0,
2000,CLE,AL,cordewi01,OF,2166667,1999,CLE,AL,54,194,35,58,15,0,8,32,2,0,15,37,0,6,0,2,7,0.364,0.500,0,0,217,0,1,
2000,CLE,AL,alomaro01,2B,7196656,1999,CLE,AL,159,563,138,182,40,3,24,120,37,6,99,96,3,7,12,13,13,0.415,0.533,0,1,697,0,0,
2000,CLE,AL,alomasa02,C,2700000,1999,CLE,AL,37,137,19,42,13,0,6,25,0,1,4,23,0,0,1,2,1,0.319,0.533,1,0,144,0,0,
2000,CLE,AL,thomeji01,1B,8175000,1999,CLE,AL,146,494,101,137,27,2,33,108,0,0,127,171,13,4,0,4,6,0.426,0.540,0,0,642,0,0,
2000,CLE,AL,frymatr01,3B,5550000,1999,CLE,AL,85,322,45,82,16,2,10,48,2,1,25,57,1,1,0,2,13,0.309,0.410,0,1,351,0,0,
2000,CLE,AL,diazei01,C,237500,1999,CLE,AL,119,392,43,110,21,1,3,32,11,4,23,41,0,5,6,1,10,0.323,0.362,1,0,427,0,0,
2000,CLE,AL,loftoke01,OF,7500000,1999,CLE,AL,120,465,110,140,28,6,7,39,25,6,79,84,2,6,5,5,6,0.402,0.432,0,0,562,0,0,
2000,CLE,AL,justida01,OF,7000000,1999,CLE,AL,133,429,75,123,18,0,21,88,1,3,94,90,11,2,0,5,14,0.413,0.476,0,0,541,0,0,
2000,CLE,AL,sexsori01,OF,247000,1999,CLE,AL,134,479,72,122,17,7,31,116,3,3,34,117,0,4,0,8,19,0.305,0.514,0,0,525,0,0,
2000,CLE,AL,ramirma02,OF,4250000,1999,CLE,AL,147,522,131,174,34,3,44,165,2,4,96,131,9,13,0,9,12,0.442,0.663,0,0,649,0,0,
2000,CLE,AL,wilsoen01,SS,232500,1999,CLE,AL,113,332,41,87,22,1,2,24,5,4,25,41,1,1,4,6,12,0.307,0.352,0,1,369,0,0,
2000,CLE,AL,vizquom01,SS,3000000,1999,CLE,AL,144,574,112,191,36,4,5,66,42,9,65,50,0,1,17,7,8,0.387,0.436,0,1,664,0,0,
2000,COL,NL,abbotku01,SS,500000,1999,COL,NL,96,286,41,78,17,2,8,41,3,2,16,69,0,0,2,1,4,0.308,0.430,0,1,305,0,1,
2000,COL,NL,shumpte01,SS,650000,1999,COL,NL,92,262,58,91,26,3,10,37,14,0,31,41,2,2,4,5,2,0.408,0.584,0,1,306,0,1,
2000,COL,NL,heltoto01,1B,1300000,1999,COL,NL,159,578,114,185,39,5,35,113,7,6,68,77,6,6,0,4,14,0.395,0.587,0,0,662,0,0,
2000,COL,NL,lansimi01,2B,6250000,1999,COL,NL,35,145,24,45,9,0,4,15,2,0,7,22,0,1,1,1,3,0.342,0.455,0,1,155,0,0,
2000,COL,NL,castivi02,3B,6250000,1999,COL,NL,158,615,83,169,24,1,33,102,2,3,53,75,7,1,0,5,15,0.331,0.478,0,1,681,0,0,
2000,COL,NL,harrile01,OF,1100000,1999,COL,NL,91,158,15,47,12,0,0,13,1,1,6,6,0,0,0,0,7,0.323,0.373,0,0,164,0,0,
2000,COL,NL,hamilda02,OF,3633333,1999,COL,NL,91,337,63,102,11,3,4,24,4,5,38,21,0,1,2,1,7,0.372,0.389,0,0,379,0,0,
2000,COL,NL,blanche01,OF,235000,1999,COL,NL,88,263,30,61,12,3,6,28,1,1,34,38,1,1,3,2,4,0.317,0.369,0,0,304,0,0,
2000,COL,NL,clemeed02,OF,215000,1999,COL,NL,57,162,24,41,10,2,8,25,0,0,7,46,0,0,1,1,4,0.281,0.488,0,0,171,0,0,
2000,COL,NL,bicheda01,OF,7000000,1999,COL,NL,151,593,104,177,38,2,34,133,6,6,54,84,3,2,0,10,15,0.354,0.541,0,0,662,0,0,
2000,COL,NL,walkela01,OF,12142857,1999,COL,NL,127,438,108,166,26,4,37,115,11,4,57,52,8,12,0,6,12,0.458,0.710,0,0,521,0,0,
2000,COL,NL,perezne01,SS,2212500,1999,COL,NL,157,690,108,193,27,11,12,70,13,5,28,54,0,1,9,4,4,0.303,0.403,0,1,732,0,0,
2000,DET,AL,polonlu01,OF,1100000,1999,DET,AL,87,333,46,108,21,8,10,32,17,9,16,32,0,2,2,2,2,0.355,0.526,0,0,355,0,1,
2000,DET,AL,clarkto02,1B,4062500,1999,DET,AL,143,536,74,150,29,0,31,99,2,1,64,133,7,6,0,3,14,0.361,0.507,0,0,616,0,0,
2000,DET,AL,catalfr01,3B,305000,1999,DET,AL,100,286,41,79,19,0,11,35,3,4,15,49,1,9,0,5,5,0.327,0.458,0,1,316,0,0,
2000,DET,AL,palmede01,3B,7000000,1999,DET,AL,150,560,92,147,25,2,38,100,3,3,57,153,3,10,0,4,12,0.339,0.518,0,1,634,0,0,
2000,DET,AL,haselbi01,C,1100000,1999,DET,AL,48,143,13,39,8,0,4,14,2,0,10,26,1,0,0,0,4,0.320,0.413,1,0,154,0,0,
2000,DET,AL,ausmubr01,C,4000000,1999,DET,AL,127,458,62,126,25,6,9,54,12,9,51,71,0,14,3,1,11,0.362,0.415,1,0,527,0,0,
2000,DET,AL,jeffegr01,OF,3125000,1999,DET,AL,70,205,22,41,8,0,6,18,3,4,13,11,1,4,0,3,9,0.258,0.327,0,0,226,0,0,
2000,DET,AL,higgibo02,OF,4425000,1999,DET,AL,107,377,51,90,18,0,12,46,4,6,64,66,2,2,0,2,2,0.351,0.382,0,0,447,0,0,
2000,DET,AL,garcika01,OF,700000,1999,DET,AL,96,288,38,69,10,3,14,32,2,4,20,67,1,0,0,1,2,0.288,0.441,0,0,310,0,0,
2000,DET,AL,kaplega01,OF,280000,1999,DET,AL,130,416,60,102,22,4,18,49,11,5,42,74,0,2,4,4,7,0.312,0.447,0,0,468,0,0,
2000,DET,AL,encarju01,OF,325000,1999,DET,AL,132,509,62,130,30,6,19,74,33,12,14,113,1,9,4,2,12,0.284,0.450,0,0,539,0,0,
2000,DET,AL,cruzde01,SS,1975000,1999,DET,AL,155,518,64,147,35,0,13,58,1,4,12,57,0,4,14,5,10,0.295,0.427,0,1,553,0,0,
2000,DET,AL,easleda01,SS,3950000,1999,DET,AL,151,549,83,146,30,1,20,65,11,3,51,124,2,19,2,6,15,0.344,0.434,0,1,629,0,0,
2000,FLO,NL,leede02,1B,225000,1999,FLO,NL,70,218,21,45,9,1,5,20,2,1,17,70,1,0,0,1,3,0.263,0.326,0,0,237,0,0,
2000,FLO,NL,castilu01,2B,390000,1999,FLO,NL,128,487,76,147,23,4,0,28,50,17,67,85,0,0,6,3,3,0.380,0.366,0,1,563,0,0,
2000,FLO,NL,lowelmi01,3B,255000,1999,FLO,NL,97,308,32,78,15,0,12,47,0,0,26,69,1,5,0,5,8,0.317,0.419,0,1,345,0,0,
2000,FLO,NL,redmomi01,C,245000,1999,FLO,NL,84,242,22,73,9,0,1,27,0,0,26,34,2,5,5,0,8,0.374,0.351,1,0,280,0,0,
2000,FLO,NL,dunwoto01,OF,232500,1999,FLO,NL,64,186,20,41,6,3,2,20,3,4,12,41,0,1,0,1,1,0.270,0.317,0,0,200,0,0,
2000,FLO,NL,bautida01,OF,500000,1999,FLO,NL,70,205,32,59,10,1,5,24,3,0,4,30,0,1,0,1,5,0.303,0.420,0,0,211,0,0,
2000,FLO,NL,kotsama01,OF,324000,1999,FLO,NL,148,495,57,134,23,9,8,50,7,6,29,50,5,0,2,9,11,0.305,0.402,0,0,540,0,0,
2000,FLO,NL,millake01,OF,265000,1999,FLO,NL,105,351,48,100,17,4,9,67,1,0,40,64,2,7,1,8,7,0.361,0.433,0,0,409,0,0,
2000,FLO,NL,floydcl01,OF,4500000,1999,FLO,NL,69,251,37,76,19,1,11,49,5,6,30,47,5,2,0,2,8,0.379,0.518,0,0,290,0,0,
2000,FLO,NL,avenbr01,OF,320000,1999,FLO,NL,137,381,57,110,19,2,12,70,3,0,44,82,1,9,0,6,6,0.370,0.444,0,0,441,0,0,
2000,FLO,NL,wilsopr01,OF,287000,1999,FLO,NL,149,482,67,135,21,4,26,71,11,4,46,156,3,9,0,6,15,0.350,0.502,0,0,546,0,0,
2000,FLO,NL,bergda01,SS,295000,1999,FLO,NL,109,304,42,87,18,1,3,25,2,2,27,59,0,2,3,0,7,0.345,0.382,0,1,336,0,0,
2000,FLO,NL,gonzaal02,SS,295000,1999,FLO,NL,136,560,81,155,28,8,14,59,3,5,15,113,0,12,1,3,13,0.308,0.430,0,1,591,0,0,
2000,HOU,NL,eusebto01,C,1100000,1999,HOU,NL,103,323,31,88,15,0,4,33,0,0,40,67,4,0,0,0,9,0.353,0.356,1,0,367,0,1,
2000,HOU,NL,gutieri01,SS,2500000,1999,HOU,NL,85,268,33,70,7,5,1,25,2,5,37,45,4,2,3,1,9,0.350,0.336,0,1,315,0,1,
2000,HOU,NL,bagweje01,1B,6500000,1999,HOU,NL,162,562,143,171,35,0,42,126,30,11,149,127,16,11,0,7,18,0.454,0.591,0,0,745,0,0,
2000,HOU,NL,caminke01,3B,4500000,1999,HOU,NL,78,273,45,78,11,1,13,56,6,2,46,58,4,3,0,7,7,0.386,0.476,0,1,333,0,0,
2000,HOU,NL,bakopa01,C,275000,1999,HOU,NL,73,215,16,55,14,1,2,17,1,1,26,57,3,0,3,3,4,0.328,0.358,1,0,250,0,0,
2000,HOU,NL,wardda01,OF,237500,1999,HOU,NL,64,150,11,41,6,0,8,30,0,0,9,31,0,0,0,2,3,0.311,0.473,0,0,161,0,0,
2000,HOU,NL,bellde01,OF,5000000,1999,HOU,NL,128,509,61,120,22,0,12,66,18,6,50,129,1,4,0,5,20,0.306,0.350,0,0,569,0,0,
2000,HOU,NL,hidalri01,OF,330000,1999,HOU,NL,108,383,49,87,25,2,15,56,8,5,56,73,2,4,0,5,5,0.328,0.420,0,0,450,0,0,
2000,HOU,NL,biggicr01,OF,6750000,1999,HOU,NL,160,639,123,188,56,0,16,73,28,14,88,107,9,11,5,6,5,0.383,0.457,0,0,758,0,0,
2000,HOU,NL,evereca01,OF,5000333,1999,HOU,NL,123,464,86,151,33,3,25,108,27,7,50,94,5,11,2,8,5,0.396,0.571,0,0,540,0,0,
2000,HOU,NL,spierbi01,SS,1700000,1999,HOU,NL,127,393,56,113,18,5,4,39,10,5,47,45,2,0,3,1,10,0.360,0.389,0,1,446,0,0,
2000,HOU,NL,bogarti01,SS,700000,1999,HOU,NL,106,309,44,74,16,2,4,31,3,5,38,52,5,4,0,3,10,0.328,0.343,0,1,359,0,0,
2000,HOU,NL,johnsru01,SS,260000,1999,HOU,NL,83,156,24,44,10,0,5,23,2,3,20,31,0,0,4,3,3,0.350,0.442,0,1,183,0,0,
2000,KCA,AL,sanchre01,SS,2300000,1999,KCA,AL,134,479,66,141,18,6,2,56,11,5,22,48,2,4,10,3,14,0.322,0.370,0,1,520,0,1,
2000,KCA,AL,damonjo01,OF,4000000,1999,KCA,AL,145,583,101,179,39,9,14,77,36,6,67,50,5,3,3,4,13,0.377,0.477,0,0,665,1,0,
2000,KCA,AL,febleca01,2B,250000,1999,KCA,AL,123,453,71,116,22,9,10,53,20,4,47,91,0,9,12,3,16,0.328,0.411,0,1,524,0,0,
2000,KCA,AL,randajo01,3B,1000000,1999,KCA,AL,156,628,92,197,36,8,16,84,5,4,50,80,4,3,1,7,15,0.363,0.473,0,1,693,0,0,
