,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
593,2004,OAK,AL,kotsama01,OF,5500000,2003,1,SDN,NL,128,482,64,128,28,4,7,38,6,3,56,82,3,1,1,1,8
491,2004,MIN,AL,stewash01,OF,5500000,2003,1,TOR,AL,71,303,47,89,22,2,7,35,1,2,27,30,2,2,0,8,6
749,2004,SLN,NL,cedenro01,OF,5375000,2003,1,NYN,NL,148,484,70,129,25,4,7,37,14,9,38,86,3,1,2,2,8
428,2004,LAN,NL,loducpa01,OF,4066667,2003,1,LAN,NL,147,568,64,155,34,2,7,52,0,2,44,54,6,10,7,1,21
297,2004,DET,AL,guillca01,SS,2500000,2003,1,SEA,AL,109,388,63,107,19,3,7,52,4,4,52,64,2,1,5,5,12
213,2004,CIN,NL,jimenda01,3B,1615000,2003,2,CIN,NL,73,290,34,84,13,2,7,31,7,4,34,43,0,2,2,3,4
394,2004,KCA,AL,graffto01,SS,1100000,2003,1,CHA,AL,90,250,51,65,15,3,7,23,8,0,24,37,1,3,3,1,1
796,2004,TBA,AL,rollsda01,OF,800000,2003,1,TBA,AL,107,373,43,95,20,0,7,46,11,3,19,84,1,7,2,3,5
856,2004,TOR,AL,woodwch01,SS,775000,2003,1,TOR,AL,104,349,49,91,22,2,7,45,1,2,28,72,0,3,0,6,6
631,2004,PHI,NL,wootesh01,C,575000,2003,1,ANA,AL,98,272,25,66,8,0,7,32,0,4,24,45,5,1,0,3,7
37,2004,ARI,NL,estalbo02,C,550000,2003,1,COL,NL,46,140,17,28,7,0,7,21,2,0,19,55,0,1,2,3,4
460,2004,MIL,NL,moellch01,C,370000,2003,1,ARI,NL,78,239,29,64,17,1,7,29,1,2,23,59,11,2,3,2,7
609,2004,PHI,NL,byrdma01,OF,355000,2003,1,PHI,NL,135,495,86,150,28,4,7,45,11,1,44,94,3,7,4,3,8
664,2004,SDN,NL,burrose01,3B,340000,2003,1,SDN,NL,146,517,62,148,27,6,7,58,7,2,44,75,4,11,2,4,13
45,2004,ARI,NL,katama01,SS,315000,2003,1,ARI,NL,78,288,42,74,16,5,7,29,3,2,25,53,0,1,5,3,4
514,2004,MON,NL,riverju01,OF,312000,2003,1,NYA,AL,57,173,22,46,14,0,7,26,0,0,10,27,1,0,1,1,8
252,2004,CLE,AL,ludwiry01,OF,304700,2003,2,CLE,AL,39,136,14,36,7,1,7,26,2,0,8,39,1,0,1,0,1
720,2004,SFN,NL,durhara01,2B,7200000,2003,1,SFN,NL,110,410,61,117,30,5,8,33,7,7,50,82,2,3,4,2,4
757,2004,SLN,NL,mathemi01,C,4000000,2003,1,SLN,NL,141,441,43,111,18,2,8,47,1,1,44,81,16,2,8,3,11
626,2004,PHI,NL,rolliji01,SS,2425000,2003,1,PHI,NL,156,628,85,165,42,6,8,62,20,12,54,113,4,0,5,2,9
483,2004,MIN,AL,rivaslu01,2B,1500000,2003,1,MIN,AL,135,475,69,123,16,9,8,43,17,7,30,65,0,5,8,3,20
741,2004,SFN,NL,snowjt01,1B,1500000,2003,1,SFN,NL,103,330,48,90,18,3,8,51,1,2,55,55,0,8,1,2,7
235,2004,CLE,AL,belliro01,2B,1100000,2003,1,COL,NL,116,447,73,124,31,2,8,50,7,2,49,71,0,2,6,1,7
405,2004,KCA,AL,relafde01,SS,900000,2003,1,KCA,AL,141,500,70,127,27,5,8,59,20,4,40,70,1,6,8,3,10
574,2004,NYN,NL,wilsova01,C,715000,2003,1,NYN,NL,96,268,28,65,9,1,8,39,1,2,15,56,1,5,2,2,6
663,2004,SDN,NL,buchabr01,OF,650000,2003,1,SDN,NL,115,198,29,52,10,2,8,29,6,2,24,51,1,3,0,3,8
564,2004,NYN,NL,spencsh01,OF,537500,2003,1,CLE,AL,64,210,23,57,10,0,8,26,2,0,18,52,0,1,0,3,6
364,2004,HOU,NL,everead01,SS,370000,2003,1,HOU,NL,128,387,51,99,18,3,8,51,8,1,28,66,6,9,11,1,7
300,2004,DET,AL,ingebr01,C,340000,2003,1,DET,AL,104,330,32,67,15,3,8,30,4,4,24,79,0,5,4,3,8
234,2004,CLE,AL,bardjo01,C,316700,2003,1,CLE,AL,91,303,25,74,13,1,8,36,0,2,22,53,1,0,1,3,9
41,2004,ARI,NL,hammoro01,OF,315000,2003,1,ARI,NL,65,195,30,55,10,2,8,28,3,2,17,44,3,2,0,2,5
333,2004,FLO,NL,choihe01,1B,310000,2003,1,CHN,NL,80,202,31,44,17,0,8,28,1,1,37,71,1,4,2,0,2
820,2004,TEX,AL,nixla01,OF,300000,2003,1,TEX,AL,53,184,25,47,10,0,8,30,3,0,9,53,0,0,1,1,1
533,2004,NYA,AL,loftoke01,OF,3100000,2003,1,PIT,NL,84,339,58,94,19,4,9,26,18,5,28,29,1,2,2,3,2
599,2004,OAK,AL,milleda02,C,3000000,2003,1,CHN,NL,114,352,34,82,19,1,9,36,1,0,39,91,6,1,7,1,15
662,2004,PIT,NL,wilsoja02,SS,1850000,2003,1,PIT,NL,150,558,58,143,21,3,9,62,5,5,36,74,3,4,11,6,11
439,2004,LAN,NL,venturo01,3B,1200000,2003,1,NYA,AL,89,283,31,71,13,0,9,42,0,0,40,62,2,0,3,0,8
203,2004,CIN,NL,castrju01,SS,1000000,2003,1,CIN,NL,113,320,28,81,14,1,9,33,2,3,18,58,1,0,7,3,7
811,2004,TEX,AL,fullmbr01,1B,1000000,2003,1,ANA,AL,63,206,32,63,9,2,9,35,5,4,26,31,4,2,0,1,4
463,2004,MIL,NL,podsesc01,OF,400000,2003,1,MIL,NL,154,558,100,175,29,8,9,58,43,10,56,91,2,4,8,2,11
515,2004,MON,NL,schnebr01,C,350000,2003,1,MON,NL,108,335,34,77,26,1,9,46,0,2,37,75,8,2,1,2,12
591,2004,OAK,AL,kieltbo01,OF,347500,2003,1,MIN,AL,75,238,40,60,13,0,9,32,6,2,42,56,2,3,0,1,5
