,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
754,2001,SFN,NL,crespfe01,OF,425000,2000,1,SFN,NL,89,131,17,38,6,1,4,29,3,2,10,23,2,4,2,3,3
40,2001,ARI,NL,cummimi01,OF,425000,2000,1,MIN,AL,77,181,28,50,10,0,4,22,0,0,11,25,1,3,1,0,4
258,2001,CLE,AL,diazei01,C,387500,2000,1,CLE,AL,75,250,29,68,14,2,4,25,4,2,11,29,0,8,6,0,7
70,2001,ATL,NL,furcara01,SS,355000,2000,1,ATL,NL,131,455,87,134,20,4,4,37,40,14,73,80,0,3,9,2,2
703,2001,SDN,NL,henderi01,OF,300000,2000,2,SEA,AL,92,324,58,77,13,2,4,30,31,9,63,55,0,2,3,3,9
493,2001,MIN,AL,hockide01,SS,900000,2000,1,MIN,AL,134,373,52,111,24,4,4,47,7,5,48,77,1,0,7,5,2
855,2001,TEX,AL,ledeeri01,OF,406500,2000,3,TEX,AL,58,213,23,50,6,3,4,38,6,3,25,50,2,1,0,1,7
209,2001,CHN,NL,matthga02,OF,225000,2000,1,CHN,NL,80,158,24,30,1,2,4,14,3,0,15,28,1,1,1,0,2
526,2001,MON,NL,mordemi01,SS,375000,2000,1,MON,NL,86,169,20,48,16,0,4,16,2,2,12,34,0,1,1,0,1
808,2001,SLN,NL,vinafe01,2B,4333333,2000,1,SLN,NL,123,487,81,146,24,6,4,31,10,8,36,36,0,28,2,1,5
482,2001,MIL,NL,whitede03,OF,5000000,2000,1,LAN,NL,47,158,26,42,5,1,4,13,3,6,9,30,0,1,0,0,3
514,2001,MON,NL,bergepe01,OF,242500,2000,1,MON,NL,148,518,80,127,25,7,5,31,11,13,58,100,0,0,14,2,4
781,2001,SLN,NL,bonilbo01,OF,900000,2000,1,ATL,NL,114,239,23,61,13,3,5,28,0,0,37,51,2,1,0,1,3
700,2001,SDN,NL,gonzawi01,C,240000,2000,1,SDN,NL,95,284,25,66,15,1,5,30,1,2,30,31,4,3,1,1,5
439,2001,LAN,NL,goodwto01,OF,3416667,2000,1,COL,NL,91,317,65,86,8,8,5,47,39,7,50,76,2,1,5,4,3
106,2001,BAL,AL,hairsje02,2B,235000,2000,1,BAL,AL,49,180,27,46,5,0,5,19,8,5,21,22,0,6,5,0,8
494,2001,MIN,AL,hunteto01,OF,230000,2000,1,MIN,AL,99,336,44,94,14,7,5,44,4,3,18,68,2,2,0,2,13
732,2001,SEA,AL,javiest01,OF,1500000,2000,1,SEA,AL,105,342,61,94,18,5,5,40,4,3,42,64,2,0,4,4,7
650,2001,PHI,NL,jordake01,3B,700000,2000,1,PHI,NL,109,337,30,74,16,2,5,36,0,1,17,41,0,1,0,3,11
11,2001,ANA,AL,joynewa01,1B,200000,2000,1,ATL,NL,119,224,24,63,12,0,5,32,0,0,31,31,3,1,0,4,2
552,2001,NYA,AL,knoblch01,2B,6000000,2000,1,NYA,AL,102,400,75,113,22,2,5,26,15,7,46,45,0,8,1,2,6
15,2001,ANA,AL,nievejo01,SS,232000,2000,1,CHN,NL,82,198,17,42,6,3,5,24,1,1,11,43,1,0,2,2,8
626,2001,OAK,AL,piattad01,OF,217500,2000,1,OAK,AL,60,157,24,47,5,5,5,23,0,1,23,44,0,1,1,0,1
800,2001,SLN,NL,polanpl01,SS,320000,2000,1,SLN,NL,118,323,50,102,12,3,5,39,4,4,16,26,0,1,7,3,8
563,2001,NYA,AL,sojolu01,SS,500000,2000,1,PIT,NL,61,176,14,50,11,0,5,20,1,0,11,16,3,1,0,1,6
96,2001,ATL,NL,verasqu01,2B,3900000,2000,1,ATL,NL,84,298,56,92,15,0,5,37,25,12,51,50,0,5,6,4,8
750,2001,SEA,AL,wilsoda01,C,4400000,2000,1,SEA,AL,90,268,31,63,12,0,5,27,1,2,22,51,0,0,11,2,8
63,2001,ATL,NL,abbotku01,SS,600000,2000,1,NYN,NL,79,157,22,34,7,1,6,12,1,1,14,51,2,1,0,1,2
399,2001,KCA,AL,alicelu01,SS,800000,2000,1,TEX,AL,139,540,85,159,25,8,6,63,1,3,59,75,1,5,7,7,13
542,2001,NYA,AL,bellicl01,SS,230000,2000,1,NYA,AL,98,184,33,38,8,2,6,21,5,0,17,48,1,5,1,2,1
459,2001,MIL,NL,casanra01,C,400000,2000,1,MIL,NL,86,231,20,57,13,3,6,36,1,2,26,48,1,4,2,2,5
809,2001,TBA,AL,castivi02,3B,7250000,2000,1,TBA,AL,85,331,22,73,9,1,6,42,1,2,14,41,3,3,0,6,9
315,2001,DET,AL,cedenro01,OF,2700000,2000,1,HOU,NL,74,259,54,73,2,5,6,26,25,11,43,47,0,0,2,1,6
755,2001,SFN,NL,daviser01,OF,1500000,2000,1,SLN,NL,92,254,38,77,14,0,6,40,1,1,36,60,0,1,0,2,7
812,2001,TBA,AL,difelmi01,C,775000,2000,1,TBA,AL,60,204,23,49,13,1,6,19,0,0,12,40,0,0,5,2,8
5,2001,ANA,AL,gilbe01,SS,350000,2000,1,ANA,AL,110,301,28,72,14,1,6,23,10,6,30,59,0,5,5,2,7
204,2001,CHN,NL,girarjo01,C,2000000,2000,1,CHN,NL,106,363,47,101,15,1,6,40,1,0,32,61,3,3,6,3,12
848,2001,TEX,AL,haselbi01,C,800000,2000,1,TEX,AL,62,193,23,53,18,0,6,26,0,1,15,36,0,1,0,1,1
706,2001,SDN,NL,jacksda04,SS,350000,2000,1,SDN,NL,138,470,68,120,27,6,6,37,28,6,62,108,2,3,4,2,7
447,2001,LAN,NL,kreutch01,C,900000,2000,1,LAN,NL,80,212,32,56,13,0,6,28,1,0,54,48,0,2,2,1,6
473,2001,MIL,NL,lopezlu02,SS,700000,2000,1,MIL,NL,78,201,24,53,14,0,6,27,1,2,9,35,1,5,8,2,2
767,2001,SFN,NL,martira03,SS,300000,2000,1,SFN,NL,88,189,30,57,13,2,6,25,3,2,15,22,1,1,4,1,6
795,2001,SLN,NL,mathemi01,C,900000,2000,1,SLN,NL,128,417,43,109,22,1,6,47,0,0,32,96,8,4,7,4,11
296,2001,COL,NL,maynebr01,P,2150000,2000,1,COL,NL,117,335,36,101,21,0,6,64,1,3,47,48,13,1,4,8,12
623,2001,OAK,AL,menecfr01,SS,225000,2000,1,OAK,AL,66,145,31,37,9,1,6,26,1,4,20,45,0,1,1,2,1
858,2001,TEX,AL,mirabdo01,C,295000,2000,1,SFN,NL,82,230,23,53,10,2,6,28,1,0,36,57,2,2,3,2,6
120,2001,BAL,AL,morame01,SS,270000,2000,1,NYN,NL,79,215,35,56,13,2,6,30,7,3,18,48,3,2,2,5,3
300,2001,COL,NL,nortogr01,3B,450000,2000,1,CHA,AL,71,201,25,49,6,1,6,28,1,0,26,47,0,2,0,2,2
363,2001,FLO,NL,owenser01,OF,1250000,2000,1,SDN,NL,145,583,87,171,19,7,6,51,29,14,45,63,4,4,0,4,16
682,2001,PIT,NL,ramirar01,3B,285000,2000,1,PIT,NL,73,254,19,65,15,2,6,35,0,0,10,36,0,5,1,4,9
830,2001,TBA,AL,smithbo06,3B,255000,2000,1,TBA,AL,49,175,21,41,8,0,6,26,2,2,14,59,1,1,0,1,6
274,2001,CLE,AL,taubeed01,C,1800000,2000,1,CIN,NL,81,266,29,71,12,0,6,24,0,0,21,44,1,2,1,1,7
220,2001,CHN,NL,younger01,2B,4500000,2000,1,CHN,NL,153,607,98,180,40,2,6,47,54,7,63,39,1,8,7,5,12
165,2001,CHA,AL,alomasa02,C,2900000,2000,1,CLE,AL,97,356,44,103,16,2,7,42,2,2,16,41,1,4,4,4,9
371,2001,HOU,NL,ausmubr01,C,4250000,2000,1,DET,AL,150,523,75,139,25,3,7,51,11,5,69,79,0,6,4,2,19
37,2001,ARI,NL,bautida01,OF,675000,2000,2,ARI,NL,87,262,45,83,16,7,7,47,5,2,20,30,4,3,4,5,10
400,2001,KCA,AL,beltrca01,OF,425000,2000,1,KCA,AL,98,372,49,92,15,4,7,44,13,0,35,69,2,0,2,4,12
457,2001,MIL,NL,blanche01,C,712500,2000,1,MIL,NL,93,284,29,67,24,0,7,31,0,3,36,60,6,0,0,4,9
432,2001,LAN,NL,bogarti01,SS,525000,2000,1,HOU,NL,110,304,32,63,9,2,7,33,1,1,35,56,7,3,5,4,15
487,2001,MIN,AL,canizja01,2B,235000,2000,1,MIN,AL,102,346,43,93,21,1,7,40,4,2,24,57,0,1,0,0,8
382,2001,HOU,NL,eusebto01,C,1300000,2000,1,HOU,NL,74,218,24,61,18,0,7,33,0,0,25,45,2,4,0,2,8
352,2001,FLO,NL,gonzaal02,SS,295000,2000,1,FLO,NL,109,385,35,77,17,4,7,42,7,1,13,77,0,2,5,2,7
443,2001,LAN,NL,grudzma01,SS,4000000,2000,1,LAN,NL,148,617,101,172,35,6,7,49,12,3,45,81,0,9,2,3,16
730,2001,SEA,AL,guillca01,SS,285000,2000,1,SEA,AL,90,288,45,74,15,2,7,42,1,3,28,53,0,2,7,3,6
474,2001,MIL,NL,loretma01,SS,3500000,2000,1,MIL,NL,91,352,49,99,21,1,7,40,0,3,37,38,2,1,8,1,9
326,2001,DET,AL,mageewe01,OF,275000,2000,1,DET,AL,91,186,31,51,4,2,7,31,1,0,10,28,0,0,0,1,7
857,2001,TEX,AL,mateoru01,OF,300000,2000,1,TEX,AL,52,206,32,60,11,0,7,19,6,0,10,34,1,5,1,0,5
717,2001,SDN,NL,trammbu01,OF,335000,2000,1,TBA,AL,66,189,19,52,11,2,7,33,3,0,21,30,0,2,0,1,5
276,2001,CLE,AL,vizquom01,SS,3000000,2000,1,CLE,AL,156,613,101,176,27,3,7,66,22,10,87,72,0,5,7,5,13
308,2001,COL,NL,walketo04,2B,1050000,2000,2,COL,NL,57,171,28,54,10,4,7,36,4,1,20,19,0,1,1,3,2
62,2001,ARI,NL,womacto01,SS,4000000,2000,1,ARI,NL,146,617,95,167,21,14,7,57,45,11,30,74,0,5,2,5,6
426,2001,KCA,AL,zaungr01,C,1150000,2000,1,KCA,AL,83,234,36,64,11,0,7,33,7,3,43,34,3,3,0,2,4
456,2001,MIL,NL,belliro01,2B,310000,2000,1,MIL,NL,152,571,83,150,30,9,8,54,7,5,82,84,4,3,4,7,12
375,2001,HOU,NL,biggicr01,2B,7750000,2000,1,HOU,NL,101,377,67,101,13,5,8,35,12,2,61,73,3,16,7,5,10
843,2001,TEX,AL,curtich01,OF,1900000,2000,1,TEX,AL,108,335,48,91,25,1,8,48,3,3,37,71,0,1,5,3,12
43,2001,ARI,NL,durazer01,1B,260000,2000,1,ARI,NL,67,196,35,52,11,0,8,33,1,0,34,43,2,1,0,2,3
646,2001,PHI,NL,glanvdo01,OF,3016667,2000,1,PHI,NL,154,637,89,175,27,6,8,52,31,8,31,76,1,2,12,7,11
847,2001,TEX,AL,greerru01,OF,4600000,2000,1,TEX,AL,105,394,65,117,34,3,8,65,4,1,51,61,1,3,0,5,14
491,2001,MIN,AL,guzmacr01,SS,325000,2000,1,MIN,AL,156,631,89,156,25,20,8,54,28,10,46,101,1,2,7,4,5
147,2001,BOS,AL,hattesc01,C,1050000,2000,1,BOS,AL,92,230,21,61,15,0,8,36,0,1,38,39,3,0,1,2,8
291,2001,COL,NL,hollato01,OF,2750000,2000,1,LAN,NL,81,261,42,61,12,0,8,24,11,4,30,61,2,1,0,1,4
651,2001,PHI,NL,leetr01,OF,800000,2000,1,ARI,NL,72,224,34,52,13,0,8,40,5,1,25,46,1,0,0,1,6
589,2001,NYN,NL,prattto02,C,600000,2000,1,NYN,NL,80,160,33,44,6,0,8,25,0,0,22,31,1,5,2,1,5
775,2001,SFN,NL,santibe01,C,500000,2000,1,CIN,NL,89,252,22,66,11,1,8,45,2,2,19,45,8,1,0,5,7
241,2001,CIN,NL,stinnke01,C,500000,2000,1,ARI,NL,76,240,22,52,7,0,8,33,0,1,19,56,4,6,0,0,5
756,2001,SFN,NL,davisru01,3B,1300000,2000,1,SFN,NL,80,180,27,47,5,0,9,24,0,3,9,29,0,2,0,1,1
104,2001,BAL,AL,fordybr01,C,825000,2000,2,BAL,AL,53,177,23,57,11,0,9,28,0,0,11,27,0,2,0,4,3
384,2001,HOU,NL,hayesch01,3B,500000,2000,1,MIL,NL,121,370,46,93,17,0,9,46,1,1,57,84,4,1,0,6,11
12,2001,ANA,AL,kennead01,2B,280000,2000,1,ANA,AL,156,598,82,159,33,11,9,72,22,8,28,73,5,3,8,4,10
496,2001,MIN,AL,koskico01,3B,300000,2000,1,MIN,AL,146,474,79,142,32,4,9,65,5,4,77,104,7,4,1,3,11
155,2001,BOS,AL,offerjo01,2B,6750000,2000,1,BOS,AL,116,451,73,115,14,3,9,41,0,8,70,70,0,1,2,3,9
627,2001,OAK,AL,saenzol01,3B,290000,2000,1,OAK,AL,76,214,40,67,12,2,9,33,1,0,25,40,2,7,0,1,6
304,2001,COL,NL,shumpte01,SS,725000,2000,1,COL,NL,115,263,52,68,11,7,9,40,8,4,28,40,1,6,0,3,3
566,2001,NYA,AL,spencsh01,OF,320000,2000,1,NYA,AL,73,248,33,70,11,3,9,40,1,2,19,45,0,2,0,7,4
306,2001,COL,NL,walkela01,OF,12166667,2000,1,COL,NL,87,314,64,97,21,7,9,51,5,5,46,40,4,9,0,3,12
166,2001,CHA,AL,baineha01,1B,1000000,2000,1,BAL,AL,72,222,24,59,8,0,10,30,0,0,29,39,6,0,0,1,6
840,2001,TEX,AL,catalfr01,OF,850000,2000,1,TEX,AL,103,282,55,82,13,2,10,42,6,2,33,36,0,6,3,2,5
317,2001,DET,AL,cruzde01,SS,3525000,2000,1,DET,AL,156,583,68,176,46,5,10,82,1,4,13,43,2,4,8,7,25
102,2001,BAL,AL,deshide01,OF,4333667,2000,1,BAL,AL,151,561,84,166,43,5,10,86,37,10,69,82,2,1,3,9,16
813,2001,TBA,AL,flahejo01,C,3000000,2000,1,TBA,AL,109,394,36,103,15,0,10,39,0,0,20,57,2,0,2,2,11
609,2001,OAK,AL,giambje01,OF,282500,2000,1,OAK,AL,104,260,42,66,10,2,10,50,0,0,32,61,2,3,3,4,7
815,2001,TBA,AL,guilljo01,OF,975000,2000,1,TBA,AL,105,316,40,80,16,5,10,41,3,1,18,65,1,13,2,0,6
389,2001,HOU,NL,lugoju01,SS,245000,2000,1,HOU,NL,116,420,78,119,22,5,10,40,22,9,37,93,0,4,3,1,9
51,2001,ARI,NL,milleda02,C,1250000,2000,1,ARI,NL,100,324,43,89,24,0,10,44,2,2,36,74,4,1,1,2,6
210,2001,CHN,NL,muellbi02,3B,2750000,2000,1,SFN,NL,153,560,97,150,29,4,10,55,4,2,52,62,0,6,7,6,16
556,2001,NYA,AL,olivejo01,C,1100000,2000,1,SEA,AL,69,200,33,53,13,1,10,35,2,1,14,38,1,0,5,0,6
503,2001,MIN,AL,ortizda01,1B,260000,2000,1,MIN,AL,130,415,59,117,36,1,10,63,1,0,57,81,2,0,0,6,13
301,2001,COL,NL,perezne01,SS,3550000,2000,1,COL,NL,162,651,92,187,39,11,10,71,3,6,30,63,6,0,7,11,9
772,2001,SFN,NL,riosar01,OF,310000,2000,1,SFN,NL,115,233,38,62,15,5,10,50,3,2,31,43,4,0,1,4,9
531,2001,MON,NL,seguife01,OF,231500,2000,1,MON,NL,76,162,22,45,8,0,10,22,0,1,9,46,0,3,0,1,5
