YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA
2000,TBA,AL,smithbo06,3B,237500,1999,TBA,AL,68,199,18,36,4,1,3,19,4,4,16,64,0,1,2,1,8,0.242,0.256,0,1,219
2000,PHI,NL,jordake01,3B,1000000,1999,PHI,NL,120,347,36,99,17,3,4,51,0,0,24,34,1,6,0,3,12,0.339,0.386,0,1,381
2000,ARI,NL,colbrgr01,3B,1005000,1999,ARI,NL,67,135,20,44,5,3,5,24,1,1,12,23,0,4,0,2,3,0.392,0.519,0,1,153
2000,CIN,NL,lewisma01,3B,600000,1999,CIN,NL,88,173,18,44,16,0,6,28,0,0,7,24,1,0,2,2,8,0.277,0.451,0,1,185
2000,OAK,AL,spiezsc01,3B,600000,1999,OAK,AL,89,247,31,60,24,0,8,33,0,0,29,36,3,2,1,3,5,0.323,0.437,0,1,285
2000,CLE,AL,frymatr01,3B,5550000,1999,CLE,AL,85,322,45,82,16,2,10,48,2,1,25,57,1,1,0,2,13,0.309,0.410,0,1,351
2000,MON,NL,andresh01,3B,1000000,1999,MON,NL,98,281,28,51,8,0,11,37,1,0,43,88,2,0,0,4,10,0.287,0.327,0,1,330
2000,DET,AL,catalfr01,3B,305000,1999,DET,AL,100,286,41,79,19,0,11,35,3,4,15,49,1,9,0,5,5,0.327,0.458,0,1,316
2000,OAK,AL,saenzol01,3B,260000,1999,OAK,AL,97,255,41,70,18,0,11,41,1,1,22,47,1,15,0,3,6,0.363,0.475,0,1,296
2000,BOS,AL,valenjo02,3B,6350000,1999,BOS,AL,113,450,58,114,27,1,12,70,0,1,40,68,2,4,1,8,11,0.314,0.398,0,1,505
2000,FLO,NL,lowelmi01,3B,255000,1999,FLO,NL,97,308,32,78,15,0,12,47,0,0,26,69,1,5,0,5,8,0.317,0.419,0,1,345
2000,HOU,NL,caminke01,3B,4500000,1999,HOU,NL,78,273,45,78,11,1,13,56,6,2,46,58,4,3,0,7,7,0.386,0.476,0,1,333
2000,MIL,NL,cirilje01,3B,3600000,1999,MIL,NL,157,607,98,198,35,1,15,88,7,4,75,83,4,5,3,7,15,0.399,0.461,0,1,701
2000,LAN,NL,beltrad01,3B,1000000,1999,LAN,NL,152,538,84,148,27,5,15,67,18,7,61,105,12,6,4,5,4,0.350,0.428,0,1,626
2000,KCA,AL,randajo01,3B,1000000,1999,KCA,AL,156,628,92,197,36,8,16,84,5,4,50,80,4,3,1,7,15,0.363,0.473,0,1,693
2000,CHA,AL,nortogr01,3B,285000,1999,CHA,AL,132,436,62,111,26,0,16,50,4,4,69,93,3,2,1,2,11,0.357,0.424,0,1,513
2000,NYA,AL,brosisc01,3B,5250000,1999,NYA,AL,133,473,64,117,26,1,17,71,9,3,39,74,2,6,2,9,13,0.306,0.414,0,1,531
2000,BAL,AL,ripkeca01,3B,6300000,1999,BAL,AL,86,332,51,113,27,0,18,57,0,1,13,31,3,3,3,3,14,0.364,0.584,0,1,357
2000,PIT,NL,spraged02,3B,800000,1999,PIT,NL,137,490,71,131,27,2,22,81,3,6,50,93,6,17,1,6,12,0.351,0.465,0,1,570
2000,TEX,AL,zeileto01,3B,4333333,1999,TEX,AL,156,588,80,172,41,1,24,98,1,2,56,94,3,4,1,7,20,0.354,0.488,0,1,659
2000,CHA,AL,konerpa01,3B,305000,1999,CHA,AL,142,513,71,151,31,4,24,81,1,0,45,68,0,2,1,3,19,0.351,0.511,0,1,564
2000,PHI,NL,rolensc01,3B,2750000,1999,PHI,NL,112,421,74,113,28,1,26,77,12,2,67,114,2,3,0,6,8,0.368,0.525,0,1,499
2000,ANA,AL,glaustr01,3B,275000,1999,ANA,AL,154,551,85,132,29,0,29,79,5,1,71,143,1,6,0,3,9,0.331,0.450,0,1,632
2000,NYN,NL,venturo01,3B,8000000,1999,NYN,NL,161,588,88,177,38,0,32,120,1,1,74,109,10,3,1,5,14,0.379,0.529,0,1,681
2000,COL,NL,castivi02,3B,6250000,1999,COL,NL,158,615,83,169,24,1,33,102,2,3,53,75,7,1,0,5,15,0.331,0.478,0,1,681
2000,OAK,AL,giambja01,3B,3103333,1999,OAK,AL,158,575,115,181,36,1,33,123,1,1,105,106,6,7,0,8,11,0.422,0.553,0,1,701
2000,SLN,NL,tatisfe01,3B,750000,1999,SLN,NL,149,537,104,160,31,2,34,107,21,9,82,128,4,16,0,4,11,0.404,0.553,0,1,643
2000,ARI,NL,willima04,3B,8500000,1999,ARI,NL,154,627,98,190,37,2,35,142,2,0,41,93,9,2,0,8,17,0.344,0.536,0,1,687
2000,DET,AL,palmede01,3B,7000000,1999,DET,AL,150,560,92,147,25,2,38,100,3,3,57,153,3,10,0,4,12,0.339,0.518,0,1,634
2000,CHN,NL,reedje02,C,1000000,1999,CHN,NL,57,150,18,39,11,2,1,17,1,1,28,34,0,2,0,1,4,0.381,0.380,1,0,181
2000,PIT,NL,olivejo01,C,500000,1999,PIT,NL,45,134,10,27,8,0,1,13,2,0,10,33,0,0,0,2,4,0.253,0.284,1,0,146
2000,FLO,NL,redmomi01,C,245000,1999,FLO,NL,84,242,22,73,9,0,1,27,0,0,26,34,2,5,5,0,8,0.374,0.351,1,0,280
2000,NYA,AL,girarjo01,C,2000000,1999,NYA,AL,65,209,23,50,16,1,2,27,3,1,10,26,0,0,8,2,16,0.262,0.354,1,0,229
2000,SFN,NL,maynebr01,C,1750000,1999,SFN,NL,117,322,39,97,32,0,2,39,2,2,43,65,5,5,1,3,16,0.388,0.419,1,0,379
2000,HOU,NL,bakopa01,C,275000,1999,HOU,NL,73,215,16,55,14,1,2,17,1,1,26,57,3,0,3,3,4,0.328,0.358,1,0,250
