YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,Birth year,Age,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA,Age_Dummy
2001,KCA,AL,randajo01,3B,2300000,2000,1969,31,KCA,AL,158,612,88,186,29,4,15,106,6,3,36,66,3,6,1,10,19,0.343,0.438,0,1,668,0
2001,BAL,AL,ripkeca01,3B,6300000,2000,1960,40,BAL,AL,83,309,43,79,16,0,15,56,0,0,23,37,0,3,0,4,10,0.310,0.453,0,1,339,0
2001,CHN,NL,coomero01,3B,1100000,2000,1966,34,MIN,AL,140,544,64,147,29,1,16,82,2,0,36,50,2,4,0,5,25,0.317,0.415,0,1,591,0
2001,MON,NL,tatisfe01,3B,2750000,2000,1975,25,SLN,NL,96,324,59,82,21,1,18,64,2,3,57,94,1,10,1,2,13,0.378,0.491,0,1,395,1
2001,CHA,AL,konerpa01,3B,2300000,2000,1976,24,CHA,AL,143,524,84,156,31,1,21,97,1,0,47,72,0,10,0,5,22,0.363,0.481,0,1,586,1
2001,CLE,AL,frymatr01,3B,5750000,2000,1969,31,CLE,AL,155,574,93,184,38,4,22,106,1,1,73,111,2,1,0,10,15,0.392,0.516,0,1,660,0
2001,FLO,NL,lowelmi01,3B,500000,2000,1974,26,FLO,NL,140,508,73,137,38,0,22,91,4,0,54,75,4,9,0,11,4,0.344,0.474,0,1,586,1
2001,NYN,NL,venturo01,3B,8000000,2000,1967,33,NYN,NL,141,469,61,109,23,1,24,84,3,5,75,91,12,2,1,4,14,0.338,0.439,0,1,563,0
2001,PHI,NL,rolensc01,3B,5500000,2000,1975,25,PHI,NL,128,483,88,144,32,6,26,89,8,1,51,99,9,5,0,2,4,0.370,0.551,0,1,550,1
2001,DET,AL,palmede01,3B,7500000,2000,1968,32,DET,AL,145,524,73,134,22,2,29,102,4,2,66,146,2,4,0,10,9,0.338,0.471,0,1,606,0
2001,SDN,NL,nevinph01,3B,1625000,2000,1971,29,SDN,NL,143,538,87,163,34,1,31,107,2,0,59,121,9,4,0,4,17,0.374,0.543,0,1,614,0
2001,TOR,AL,batisto01,3B,3300000,2000,1973,27,TOR,AL,154,620,96,163,32,2,41,114,5,4,35,121,1,6,0,3,15,0.307,0.519,0,1,665,1
2001,ATL,NL,bakopa01,C,450000,2000,1972,28,FLO,NL,56,161,10,39,6,1,0,14,0,0,22,48,7,1,1,1,4,0.333,0.292,1,0,193,0
2001,FLO,NL,redmomi01,C,300000,2000,1971,29,FLO,NL,87,210,17,53,8,1,0,15,0,0,13,19,3,8,1,3,5,0.315,0.300,1,0,238,0
2001,MON,NL,barremi01,C,285000,2000,1976,24,MON,NL,89,271,28,58,15,1,1,22,0,1,23,35,5,1,1,1,7,0.276,0.288,1,0,302,1
2001,TOR,AL,castial01,C,725000,2000,1970,30,TOR,AL,66,185,14,39,7,0,1,16,0,0,21,36,0,0,2,3,3,0.284,0.265,1,0,211,0
2001,FLO,NL,castrra01,C,214000,2000,1976,24,FLO,NL,50,138,10,33,4,0,2,14,0,0,16,36,7,1,0,2,1,0.318,0.312,1,0,164,1
2001,SLN,NL,hernaca01,C,3500000,2000,1967,33,SDN,NL,58,191,16,48,11,0,2,25,1,3,16,26,1,3,0,2,4,0.316,0.340,1,0,213,0
2001,SDN,NL,davisbe01,C,235000,2000,1977,23,SDN,NL,43,130,12,29,6,0,3,14,1,1,14,35,1,0,3,1,2,0.291,0.338,1,0,149,1
2001,ANA,AL,fabrejo01,C,500000,2000,1970,30,KCA,AL,43,142,13,40,4,0,3,17,1,0,8,11,1,0,2,0,1,0.316,0.373,1,0,153,0
2001,DET,AL,fickro01,C,255000,2000,1974,26,DET,AL,66,163,18,41,7,2,3,22,2,1,22,39,2,1,0,2,4,0.340,0.374,1,0,190,1
2001,COL,NL,petribe01,C,232000,2000,1977,23,COL,NL,52,146,32,47,10,1,3,20,1,2,20,33,2,2,1,4,1,0.399,0.466,1,0,175,1
2001,CLE,AL,diazei01,C,387500,2000,1972,28,CLE,AL,75,250,29,68,14,2,4,25,4,2,11,29,0,8,6,0,7,0.316,0.392,1,0,275,0
2001,SDN,NL,gonzawi01,C,240000,2000,1974,26,SDN,NL,95,284,25,66,15,1,5,30,1,2,30,31,4,3,1,1,5,0.310,0.345,1,0,323,1
2001,SEA,AL,wilsoda01,C,4400000,2000,1969,31,SEA,AL,90,268,31,63,12,0,5,27,1,2,22,51,0,0,11,2,8,0.281,0.336,1,0,303,0
2001,MIL,NL,casanra01,C,400000,2000,1972,28,MIL,NL,86,231,20,57,13,3,6,36,1,2,26,48,1,4,2,2,5,0.328,0.407,1,0,266,0
2001,TBA,AL,difelmi01,C,775000,2000,1969,31,TBA,AL,60,204,23,49,13,1,6,19,0,0,12,40,0,0,5,2,8,0.274,0.402,1,0,223,0
2001,CHN,NL,girarjo01,C,2000000,2000,1964,36,CHN,NL,106,363,47,101,15,1,6,40,1,0,32,61,3,3,6,3,12,0.334,0.375,1,0,410,0
2001,TEX,AL,haselbi01,C,800000,2000,1966,34,TEX,AL,62,193,23,53,18,0,6,26,0,1,15,36,0,1,0,1,1,0.329,0.461,1,0,210,0
2001,LAN,NL,kreutch01,C,900000,2000,1964,36,LAN,NL,80,212,32,56,13,0,6,28,1,0,54,48,0,2,2,1,6,0.413,0.410,1,0,271,0
2001,SLN,NL,mathemi01,C,900000,2000,1970,30,SLN,NL,128,417,43,109,22,1,6,47,0,0,32,96,8,4,7,4,11,0.313,0.362,1,0,472,0
2001,TEX,AL,mirabdo01,C,295000,2000,1970,30,SFN,NL,82,230,23,53,10,2,6,28,1,0,36,57,2,2,3,2,6,0.333,0.370,1,0,275,0
2001,CLE,AL,taubeed01,C,1800000,2000,1968,32,CIN,NL,81,266,29,71,12,0,6,24,0,0,21,44,1,2,1,1,7,0.323,0.380,1,0,292,0
2001,CHA,AL,alomasa02,C,2900000,2000,1966,34,CLE,AL,97,356,44,103,16,2,7,42,2,2,16,41,1,4,4,4,9,0.320,0.404,1,0,385,0
2001,HOU,NL,ausmubr01,C,4250000,2000,1969,31,DET,AL,150,523,75,139,25,3,7,51,11,5,69,79,0,6,4,2,19,0.354,0.365,1,0,604,0
2001,MIL,NL,blanche01,C,712500,2000,1971,29,MIL,NL,93,284,29,67,24,0,7,31,0,3,36,60,6,0,0,4,9,0.318,0.394,1,0,330,0
2001,HOU,NL,eusebto01,C,1300000,2000,1967,33,HOU,NL,74,218,24,61,18,0,7,33,0,0,25,45,2,4,0,2,8,0.361,0.459,1,0,251,0
2001,KCA,AL,zaungr01,C,1150000,2000,1971,29,KCA,AL,83,234,36,64,11,0,7,33,7,3,43,34,3,3,0,2,4,0.390,0.410,1,0,285,0
2001,BOS,AL,hattesc01,C,1050000,2000,1969,31,BOS,AL,92,230,21,61,15,0,8,36,0,1,38,39,3,0,1,2,8,0.365,0.435,1,0,274,0
2001,NYN,NL,prattto02,C,600000,2000,1967,33,NYN,NL,80,160,33,44,6,0,8,25,0,0,22,31,1,5,2,1,5,0.374,0.463,1,0,191,0
2001,SFN,NL,santibe01,C,500000,2000,1965,35,CIN,NL,89,252,22,66,11,1,8,45,2,2,19,45,8,1,0,5,7,0.310,0.409,1,0,285,0
2001,CIN,NL,stinnke01,C,500000,2000,1970,30,ARI,NL,76,240,22,52,7,0,8,33,0,1,19,56,4,6,0,0,5,0.291,0.346,1,0,269,0
2001,BAL,AL,fordybr01,C,825000,2000,1970,30,BAL,AL,53,177,23,57,11,0,9,28,0,0,11,27,0,2,0,4,3,0.361,0.537,1,0,194,0
2001,TBA,AL,flahejo01,C,3000000,2000,1967,33,TBA,AL,109,394,36,103,15,0,10,39,0,0,20,57,2,0,2,2,11,0.294,0.376,1,0,420,0
2001,ARI,NL,milleda02,C,1250000,2000,1969,31,ARI,NL,100,324,43,89,24,0,10,44,2,2,36,74,4,1,1,2,6,0.346,0.441,1,0,368,0
2001,NYA,AL,olivejo01,C,1100000,2000,1965,35,SEA,AL,69,200,33,53,13,1,10,35,2,1,14,38,1,0,5,0,6,0.306,0.490,1,0,220,0
2001,BOS,AL,varitja01,C,1800000,2000,1972,28,BOS,AL,139,448,55,111,31,1,10,65,1,1,60,84,3,6,1,4,16,0.341,0.388,1,0,522,0
2001,SFN,NL,estalbo02,C,310000,2000,1974,26,SFN,NL,106,299,45,70,22,3,14,53,3,0,57,92,9,2,0,3,4,0.357,0.468,1,0,370,1
2001,OAK,AL,hernara02,C,245000,2000,1976,24,OAK,AL,143,419,52,101,19,0,14,62,1,0,38,64,1,7,10,5,14,0.305,0.387,1,0,480,1
2001,PIT,NL,kendaja01,C,5100000,2000,1974,26,PIT,NL,152,579,112,185,33,6,14,58,22,12,79,79,3,15,1,4,13,0.412,0.470,1,0,681,1
2001,DET,AL,melusmi01,C,345000,2000,1973,27,HOU,NL,117,337,47,101,21,0,14,69,1,0,55,74,10,4,1,3,7,0.400,0.487,1,0,410,1
2001,ANA,AL,molinbe01,C,350000,2000,1974,26,ANA,AL,130,473,59,133,20,2,14,71,1,0,23,33,0,6,4,7,17,0.316,0.421,1,0,513,1
2001,PHI,NL,liebemi01,C,6333333,2000,1972,28,PHI,NL,108,389,55,108,30,0,15,71,2,0,40,53,3,6,0,3,12,0.352,0.470,1,0,441,0
2001,MIL,NL,houstty01,C,1375000,2000,1971,29,MIL,NL,101,284,30,71,15,0,18,43,2,1,17,72,3,0,4,0,13,0.289,0.493,1,0,308,0
2001,TOR,AL,fletcda01,C,3525000,2000,1966,34,TOR,AL,122,416,43,133,19,1,20,58,1,0,20,45,3,5,0,4,8,0.355,0.514,1,0,448,0
2001,FLO,NL,johnsch04,C,5000000,2000,1971,29,BAL,AL,84,286,52,84,16,0,21,55,2,0,32,69,0,0,1,1,8,0.363,0.570,1,0,320,0
2001,CHN,NL,hundlto01,C,3500000,2000,1969,31,LAN,NL,90,299,49,85,16,0,24,70,0,1,45,69,6,2,1,6,5,0.374,0.579,1,0,359,0
2001,ATL,NL,lopezja01,C,7750000,2000,1970,30,ATL,NL,134,481,60,138,21,1,24,89,0,0,35,80,3,4,0,5,20,0.337,0.484,1,0,528,0
2001,TEX,AL,rodriiv01,C,8200000,2000,1971,29,TEX,AL,91,363,66,126,27,4,27,83,5,5,19,48,5,1,0,6,17,0.375,0.667,1,0,394,0
2001,NYA,AL,posadjo01,C,4050000,2000,1971,29,NYA,AL,151,505,92,145,35,1,28,86,2,2,107,151,10,8,0,4,11,0.417,0.527,1,0,634,0
2001,NYN,NL,piazzmi01,C,13571429,2000,1968,32,NYN,NL,136,482,90,156,26,0,38,113,4,2,58,69,10,3,0,2,15,0.398,0.614,1,0,555,0
2001,MON,NL,joneste02,OF,225000,2000,1971,29,MON,NL,108,168,30,42,8,2,0,13,7,2,10,32,1,0,3,0,3,0.287,0.321,0,0,182,0
2001,ANA,AL,palmeor01,OF,900000,2000,1969,31,ANA,AL,108,243,38,73,20,2,0,25,4,1,38,20,0,2,10,3,4,0.382,0.399,0,0,296,0
2001,COL,NL,pierrju01,OF,215000,2000,1977,23,COL,NL,51,200,26,62,2,0,0,20,7,6,13,15,0,1,4,1,2,0.347,0.320,0,0,219,1
2001,SDN,NL,darrmi02,OF,215000,2000,1976,24,SDN,NL,58,205,21,55,14,4,1,30,9,1,23,45,1,0,0,0,9,0.342,0.390,0,0,229,1
2001,PHI,NL,huntebr02,OF,900000,2000,1971,29,COL,NL,72,200,36,55,4,1,1,13,15,3,21,31,0,1,4,0,2,0.341,0.320,0,0,226,0
2001,BAL,AL,matoslu01,OF,226000,2000,1978,22,BAL,AL,72,182,21,41,6,3,1,17,13,4,12,30,0,3,2,2,7,0.279,0.308,0,0,201,1
2001,TBA,AL,winnra01,OF,270000,2000,1974,26,TBA,AL,51,159,28,40,5,0,1,16,6,7,26,25,0,2,2,1,2,0.358,0.302,0,0,190,1
2001,MON,NL,bradlmi01,OF,207000,2000,1978,22,MON,NL,42,154,20,34,8,1,2,15,2,1,14,32,0,1,1,1,3,0.287,0.325,0,0,171,1
2001,CIN,NL,guerrwi01,OF,400000,2000,1974,26,MON,NL,127,288,30,77,7,2,2,23,8,1,19,41,0,0,6,1,6,0.306,0.326,0,0,314,1
2001,BOS,AL,lewisda01,OF,2500000,2000,1967,33,BOS,AL,97,270,44,65,12,0,2,17,10,5,22,34,0,3,8,0,2,0.297,0.307,0,0,303,0
2001,ATL,NL,martida01,OF,1500000,2000,1964,36,TOR,AL,47,180,29,56,10,1,2,22,4,2,24,28,0,1,0,1,3,0.393,0.411,0,0,206,0
2001,MIL,NL,moutoja01,OF,300000,2000,1968,32,MIL,NL,87,159,28,37,7,1,2,17,13,4,30,43,0,3,4,1,5,0.355,0.327,0,0,197,0
2001,SFN,NL,murraca01,OF,222500,2000,1971,29,SFN,NL,108,194,35,47,12,1,2,22,9,3,29,33,0,3,2,1,0,0.345,0.345,0,0,229,0
2001,FLO,NL,abbotje01,OF,300000,2000,1972,28,CHA,AL,80,215,31,59,15,1,3,29,2,1,21,38,1,2,2,1,2,0.340,0.395,0,0,242,0
2001,NYN,NL,harrile01,OF,1100000,2000,1964,36,NYN,NL,76,138,22,42,6,3,3,13,8,1,17,17,1,0,2,0,4,0.376,0.457,0,0,158,0
2001,SEA,AL,mclemma01,OF,2000000,2000,1964,36,SEA,AL,138,481,72,118,23,1,3,46,30,14,81,78,2,1,11,4,12,0.346,0.316,0,0,580,0
2001,PIT,NL,brownad01,OF,380000,2000,1974,26,PIT,NL,104,308,64,97,18,3,4,28,13,1,29,34,1,0,2,1,1,0.371,0.432,0,0,341,1
2001,CLE,AL,cordoma01,OF,500000,2000,1969,31,TOR,AL,62,200,23,49,7,0,4,18,3,2,18,35,0,3,0,0,6,0.317,0.340,0,0,221,0
2001,SFN,NL,crespfe01,OF,425000,2000,1973,27,SFN,NL,89,131,17,38,6,1,4,29,3,2,10,23,2,4,2,3,3,0.347,0.443,0,0,152,1
2001,ARI,NL,cummimi01,OF,425000,2000,1971,29,MIN,AL,77,181,28,50,10,0,4,22,0,0,11,25,1,3,1,0,4,0.327,0.398,0,0,197,0
