YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA
2003,SDN,NL,bennega01,C,700000,2002,COL,NL,90,291,26,77,10,2,4,26,1,3,15,45,2,6,2,0,10,0.312,0.354,1,0,316
2003,ATL,NL,blanche01,C,1300000,2002,ATL,NL,81,221,17,45,9,1,6,22,0,2,20,51,5,1,2,5,5,0.265,0.335,1,0,254
2003,SEA,AL,davisbe01,C,1000000,2002,SEA,AL,80,228,24,59,10,1,7,43,1,1,18,58,1,2,1,4,6,0.312,0.404,1,0,254
2003,TEX,AL,diazei01,C,1837500,2002,CLE,AL,102,320,34,66,19,0,2,16,0,1,17,27,1,6,6,2,13,0.254,0.284,1,0,352
2003,KCA,AL,difelmi01,C,625000,2002,SLN,NL,70,174,17,40,11,0,4,19,0,0,17,42,3,1,2,3,4,0.294,0.362,1,0,200
2003,NYA,AL,flahejo01,C,750000,2002,TBA,AL,76,281,27,73,20,0,4,33,2,2,15,50,0,1,2,4,6,0.294,0.374,1,0,303
2003,BAL,AL,fordybr01,C,3500000,2002,BAL,AL,56,130,7,30,8,0,1,8,1,0,9,19,0,4,3,0,5,0.295,0.315,1,0,146
2003,BAL,AL,gilge01,C,330000,2002,BAL,AL,125,422,33,98,19,0,12,45,2,2,21,88,1,1,5,1,17,0.267,0.363,1,0,451
2003,SLN,NL,girarjo01,C,725000,2002,CHN,NL,90,234,19,53,10,1,1,13,1,0,16,35,3,0,5,1,10,0.270,0.291,1,0,259
2003,SDN,NL,gonzawi01,C,700000,2002,SDN,NL,56,164,16,36,8,1,1,20,0,0,27,24,3,1,0,2,10,0.330,0.299,1,0,197
2003,TBA,AL,hallto02,C,300000,2002,TBA,AL,85,330,37,85,19,1,6,42,0,1,17,27,3,1,2,3,14,0.292,0.376,1,0,356
2003,OAK,AL,hernara02,C,1887500,2002,OAK,AL,136,403,51,94,20,0,7,42,0,0,43,64,1,5,3,3,11,0.311,0.335,1,0,458
