,playerID,salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
836,womacto01,2500000.00,1999,1,ARI,NL,144,614,111,170,25,10,4,41,72,13,52,68,0,2,9,7,4
446,loretma01,2500000.00,1999,1,MIL,NL,153,587,93,170,34,5,5,67,4,1,52,59,1,10,9,6,14
205,erstada01,2500000.00,1999,1,ANA,AL,142,585,84,148,22,5,13,53,13,7,47,101,3,1,2,3,16
146,coninje01,2500000.00,1999,1,BAL,AL,139,444,54,129,31,1,13,75,0,3,30,40,0,3,1,7,12
224,fletcda01,2500000.00,1999,1,TOR,AL,115,412,48,120,26,0,18,80,0,0,26,47,0,6,0,4,16
291,gutieri01,2500000.00,1999,1,HOU,NL,85,268,33,70,7,5,1,25,2,5,37,45,4,2,3,1,9
426,lewisda01,2400000.00,1999,1,BOS,AL,135,470,63,113,14,6,2,40,16,10,45,52,0,5,14,4,5
126,cedenro01,2400000.00,1999,1,NYN,NL,155,453,90,142,23,4,4,36,66,17,60,100,3,3,7,2,5
824,willige02,2373439.00,1999,1,ATL,NL,143,422,76,116,24,1,17,68,19,11,33,67,1,6,4,2,8
75,berryse01,2350000.00,1999,1,MIL,NL,106,259,26,59,11,1,2,23,0,0,17,50,0,3,0,2,4
194,dyeje01,2300000.00,1999,1,KCA,AL,158,608,96,179,44,8,27,119,2,3,58,119,4,1,0,6,17
678,sanchre01,2300000.00,1999,1,KCA,AL,134,479,66,141,18,6,2,56,11,5,22,48,2,4,10,3,14
786,vinafe01,2300000.00,1999,1,MIL,NL,37,154,17,41,7,0,1,16,5,2,14,6,0,4,3,2,1
639,renteed01,2250000.00,1999,1,SLN,NL,154,585,92,161,36,2,11,63,37,8,53,82,0,2,6,7,16
744,sweenmi01,2250000.00,1999,1,KCA,AL,150,575,101,185,44,2,22,102,6,1,54,48,0,10,0,4,21
568,ordonre01,2250000.00,1999,1,NYN,NL,154,520,49,134,24,2,1,60,8,4,49,59,12,1,11,7,16
397,kendaja01,2250000.00,1999,1,PIT,NL,78,280,61,93,20,3,8,41,22,3,38,32,3,12,0,4,8
115,camermi01,2225000.00,1999,1,CIN,NL,146,542,93,139,34,9,21,66,38,12,80,145,2,6,5,3,4
593,perezne01,2212500.00,1999,1,COL,NL,157,690,108,193,27,11,12,70,13,5,28,54,0,1,9,4,4
153,cordewi01,2166667.00,1999,1,CLE,AL,54,194,35,58,15,0,8,32,2,0,15,37,0,6,0,2,7
257,glanvdo01,2016667.00,1999,1,PHI,NL,150,628,101,204,38,6,11,73,34,2,48,82,1,6,5,5,9
486,mclemma01,2000000.00,1999,1,TEX,AL,144,566,105,155,20,7,6,45,16,8,83,79,2,0,9,6,8
466,martida01,2000000.00,1999,1,TBA,AL,143,514,79,146,25,5,6,66,13,6,60,76,3,5,10,5,6
317,henderi01,2000000.00,1999,1,NYN,NL,121,438,89,138,30,0,12,42,37,14,82,82,1,2,1,3,4
416,lawtoma02,2000000.00,1999,1,MIN,AL,118,406,58,105,18,0,7,54,26,4,57,42,7,6,0,7,11
41,baineha01,2000000.00,1999,1,BAL,AL,107,345,57,111,16,1,24,81,1,2,43,38,3,0,0,2,14
256,girarjo01,2000000.00,1999,1,NYA,AL,65,209,23,50,16,1,2,27,3,1,10,26,0,0,8,2,16
165,curtich01,2000000.00,1999,1,NYA,AL,96,195,37,51,6,0,5,24,8,4,43,35,0,3,1,3,6
160,cruzde01,1975000.00,1999,1,DET,AL,155,518,64,147,35,0,13,58,1,4,12,57,0,4,14,5,10
634,reesepo01,1950000.00,1999,1,CIN,NL,149,585,85,167,37,5,10,52,38,7,35,81,3,6,5,5,9
844,youngdm01,1950000.00,1999,1,CIN,NL,127,373,63,112,30,2,14,56,3,1,30,71,1,2,0,4,11
451,mabryjo01,1850000.00,1999,1,SEA,AL,87,262,34,64,14,0,9,33,2,1,20,60,1,0,2,1,6
480,mccraqu01,1850000.00,1999,1,TBA,AL,40,148,20,37,6,1,1,18,6,5,14,23,0,1,1,1,7
253,gilesbr02,1816667.00,1999,1,PIT,NL,141,521,109,164,33,3,39,115,6,2,95,80,7,3,0,8,14
465,martial03,1750000.00,1999,1,PIT,NL,143,541,97,150,36,8,24,63,20,3,49,119,5,1,0,2,8
186,drewjd01,1750000.00,1999,1,SLN,NL,104,368,72,89,16,6,13,39,19,3,50,77,0,6,3,3,4
478,maynebr01,1750000.00,1999,1,SFN,NL,117,322,39,97,32,0,2,39,2,2,43,65,5,5,1,3,16
718,spierbi01,1700000.00,1999,1,HOU,NL,127,393,56,113,18,5,4,39,10,5,47,45,2,0,3,1,10
767,tuckemi01,1700000.00,1999,1,CIN,NL,133,296,55,75,8,5,11,44,11,4,37,81,3,3,0,4,5
36,aurilri01,1550000.00,1999,1,SFN,NL,152,558,68,157,23,1,22,80,2,3,43,71,3,5,3,5,16
148,coomero01,1500000.00,1999,1,MIN,AL,127,467,53,123,25,1,16,65,2,1,30,69,1,1,0,3,16
364,javiest01,1500000.00,1999,1,SFN,NL,112,333,49,92,15,1,3,30,13,6,29,55,4,1,7,1,4
335,hillgl01,1500000.00,1999,1,CHN,NL,99,253,43,76,9,1,20,55,5,1,22,61,1,0,0,3,7
110,bushho01,1450000.00,1999,1,TOR,AL,128,485,69,155,26,4,5,55,32,8,21,82,0,6,8,3,9
104,buhneja01,1450000.00,1999,1,SEA,AL,87,266,37,59,11,0,14,38,0,0,69,100,0,5,0,3,6
341,hollato01,1450000.00,1999,1,LAN,NL,92,261,39,74,12,2,9,32,5,2,24,61,1,1,0,1,2
56,bellda01,1425000.00,1999,1,SEA,AL,157,597,92,160,31,2,21,78,7,4,58,90,0,2,3,7,7
750,taubeed01,1400000.00,1999,1,CIN,NL,126,424,58,132,22,2,21,87,0,2,30,67,1,1,1,5,12
820,widgech01,1350000.00,1999,1,MON,NL,124,383,42,101,24,1,14,56,1,4,28,86,0,7,0,1,5
528,muellbi02,1325000.00,1999,1,SFN,NL,116,414,61,120,24,0,2,36,4,2,65,52,1,3,8,2,11
771,valenjo03,1320000.00,1999,1,MIL,NL,89,256,45,58,9,5,10,38,3,2,48,52,7,2,2,5,3
316,heltoto01,1300000.00,1999,1,COL,NL,159,578,114,185,39,5,35,113,7,6,68,77,6,6,0,4,14
611,posadjo01,1250000.00,1999,1,NYA,AL,112,379,50,93,19,2,12,57,1,0,53,91,2,3,0,2,9
64,benarma01,1125000.00,1999,1,SFN,NL,149,562,100,163,36,5,16,64,27,14,55,97,2,6,1,1,5
607,polonlu01,1100000.00,1999,1,DET,AL,87,333,46,108,21,8,10,32,17,9,16,32,0,2,2,2,2
209,eusebto01,1100000.00,1999,1,HOU,NL,103,323,31,88,15,0,4,33,0,0,40,67,4,0,0,0,9
103,buforda01,1100000.00,1999,1,BOS,AL,91,297,39,72,15,2,6,38,9,2,21,74,0,2,1,3,5
307,harrile01,1100000.00,1999,1,COL,NL,91,158,15,47,12,0,0,13,1,1,6,6,0,0,0,0,7
310,haselbi01,1100000.00,1999,1,DET,AL,48,143,13,39,8,0,4,14,2,0,10,26,1,0,0,0,4
143,colbrgr01,1005000.00,1999,1,ARI,NL,67,135,20,44,5,3,5,24,1,1,12,23,0,4,0,2,3
625,randajo01,1000000.00,1999,1,KCA,AL,156,628,92,197,36,8,16,84,5,4,50,80,4,3,1,7,15
62,beltrad01,1000000.00,1999,1,LAN,NL,152,538,84,148,27,5,15,67,18,7,61,105,12,6,4,5,4
172,davisru01,1000000.00,1999,1,SEA,AL,124,432,55,106,17,1,21,59,3,3,32,111,1,5,7,2,13
387,jordake01,1000000.00,1999,1,PHI,NL,120,347,36,99,17,3,4,51,0,0,24,34,1,6,0,3,12
732,stinnke01,1000000.00,1999,1,ARI,NL,88,284,36,66,13,0,14,38,2,1,24,83,2,5,2,2,4
26,andresh01,1000000.00,1999,1,MON,NL,98,281,28,51,8,0,11,37,1,0,43,88,2,0,0,4,10
438,lockhke01,1000000.00,1999,1,ATL,NL,108,161,20,42,3,1,1,21,3,1,19,21,0,1,0,3,2
631,reedje02,1000000.00,1999,2,CHN,NL,57,150,18,39,11,2,1,17,1,1,28,34,0,2,0,1,4
428,leyriji01,1000000.00,1999,1,SDN,NL,50,134,17,32,5,0,8,21,0,0,15,37,1,4,0,1,4
412,lampkto01,950000.00,1999,1,SEA,AL,76,206,29,60,11,2,9,34,1,3,13,32,1,5,1,2,2
793,walbema01,925000.00,1999,1,ANA,AL,107,288,26,69,8,1,3,22,2,3,26,46,1,3,3,1,12
546,nevinph01,875000.00,1999,1,SDN,NL,128,383,52,103,27,0,24,85,1,0,51,82,1,1,1,5,7
772,vandejo02,875000.00,1999,1,SDN,NL,132,246,26,67,18,0,6,41,2,1,37,59,1,2,0,3,5
556,ochoaal01,862500.00,1999,1,MIL,NL,119,277,47,83,16,3,8,40,6,4,45,43,2,5,0,2,4
344,houstty01,835000.00,1999,1,CHN,NL,100,249,26,58,9,1,9,27,1,1,28,67,4,0,1,1,7
285,guerrwi01,825000.00,1999,1,MON,NL,132,315,42,92,15,7,2,31,7,6,13,38,0,2,10,0,4
722,spraged02,800000.00,1999,1,PIT,NL,137,490,71,131,27,2,22,81,3,6,50,93,6,17,1,6,12
396,kellyro01,800000.00,1999,1,TEX,AL,87,290,41,87,17,1,8,37,6,1,21,57,0,5,0,2,5
455,magadda01,775000.00,1999,1,SDN,NL,116,248,20,68,12,1,2,30,1,3,45,36,2,0,0,7,10
749,tatisfe01,750000.00,1999,1,SLN,NL,149,537,104,160,31,2,34,107,21,9,82,128,4,16,0,4,11
277,grievbe01,750000.00,1999,1,OAK,AL,148,486,80,129,21,0,28,86,4,0,63,108,2,8,0,1,17
519,moranmi01,750000.00,1999,1,CHN,NL,144,456,60,110,18,5,4,37,6,6,48,61,2,6,7,4,10
230,foxan01,750000.00,1999,1,ARI,NL,99,274,34,70,12,2,6,33,4,1,33,61,10,9,1,3,4
93,braggda01,750000.00,1999,1,SLN,NL,93,273,38,71,12,1,6,26,3,0,44,67,1,3,5,0,5
680,santafp01,750000.00,1999,1,SFN,NL,113,254,49,66,17,3,3,26,12,4,53,54,0,11,5,2,1
14,alicelu01,750000.00,1999,1,TEX,AL,68,164,33,33,10,0,3,17,2,1,28,32,0,0,3,1,4
476,mathemi01,750000.00,1999,1,TOR,AL,57,163,16,35,6,0,3,17,0,0,12,37,0,1,2,1,3
655,riverru01,700000.00,1999,1,SDN,NL,147,411,65,80,16,1,23,48,18,7,55,143,1,5,0,4,9
67,benjami01,700000.00,1999,1,PIT,NL,110,368,42,91,26,7,1,37,10,1,20,90,3,2,11,3,3
82,bogarti01,700000.00,1999,1,HOU,NL,106,309,44,74,16,2,4,31,3,5,38,52,5,4,0,3,10
247,garcika01,700000.00,1999,1,DET,AL,96,288,38,69,10,3,14,32,2,4,20,67,1,0,0,1,2
731,stewash01,683333.00,1999,1,TOR,AL,145,608,102,185,28,2,11,67,37,14,59,83,0,8,3,4,12
228,fordybr01,675000.00,1999,1,CHA,AL,105,333,36,99,25,1,9,49,2,0,21,48,0,3,3,2,5
681,santibe01,650000.00,1999,1,CHN,NL,109,350,28,87,18,3,7,36,1,1,32,71,6,2,0,2,12
592,perezed02,650000.00,1999,1,ATL,NL,104,309,30,77,17,0,7,30,0,1,17,40,4,6,4,3,9
703,shumpte01,650000.00,1999,1,COL,NL,92,262,58,91,26,3,10,37,14,0,31,41,2,2,4,5,2
346,howarth01,650000.00,1999,1,SLN,NL,98,195,16,57,10,0,6,28,1,1,17,26,0,2,0,1,3
696,servasc01,625000.00,1999,1,SFN,NL,69,198,21,54,10,0,5,21,0,0,13,31,2,3,3,0,7
