playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR
crawfca02,OF,20750000,2015,1,LAN,NL,69,181,19,48,9,2,4
deazaal01,OF,5750000,2015,2,BOS,AL,60,161,23,47,9,5,4
dejesiv02,SS,517000,2015,1,CIN,NL,76,201,15,49,10,2,4
giavojo01,SS,532500,2015,1,LAA,AL,129,453,51,123,25,5,4
gordode01,2B,3242202,2015,1,MIA,NL,145,615,88,205,24,8,4
hamilbi02,OF,570000,2015,1,CIN,NL,114,412,56,93,8,3,4
harrijo05,OF,5250000,2015,1,PIT,NL,114,418,57,120,29,1,4
hollima01,OF,17000000,2015,1,SLN,NL,73,229,24,64,16,1,4
maldoma01,C,1125000,2015,1,MIL,NL,79,229,19,48,7,0,4
molinya01,C,14200000,2015,1,SLN,NL,136,488,34,132,23,2,4
morsemi01,1B,8000000,2015,1,MIA,NL,53,160,8,34,4,0,4
nunezed02,SS,1475000,2015,1,MIN,AL,72,188,23,53,14,1,4
owingch01,SS,530500,2015,1,ARI,NL,147,515,59,117,27,5,4
perezca02,C,513000,2015,1,LAA,AL,86,260,20,65,13,0,4
reyesjo01,SS,22000000,2015,1,TOR,AL,69,288,36,82,17,0,4
rodrise01,SS,2500000,2015,1,PIT,NL,139,224,25,55,12,1,4
saladty01,SS,513000,2015,1,CHA,AL,68,236,33,53,6,4,4
simmoan01,SS,6000000,2015,1,ATL,NL,147,535,60,142,23,2,4
spangco01,OF,517700,2015,1,SDN,NL,108,303,38,82,17,5,4
adamsma01,1B,1650000,2015,1,SLN,NL,60,175,14,42,9,0,5
alonsyo01,3B,2650000,2015,1,SDN,NL,103,354,50,100,18,1,5
altheaa01,OF,515500,2015,1,PHI,NL,39,137,25,33,11,4,5
aokino01,OF,5500000,2015,1,SFN,NL,93,355,42,102,12,3,5
avilemi01,SS,2000000,2015,1,CLE,AL,98,290,37,67,10,0,5
blancgr01,OF,3900000,2015,1,SFN,NL,115,327,59,95,19,3,5
burnsbi02,OF,512500,2015,1,OAK,AL,125,520,70,153,18,9,5
castiru01,OF,11400000,2015,1,BOS,AL,80,273,35,69,10,2,5
descada01,SS,2100000,2015,1,COL,NL,101,185,22,38,3,2,5
goinsry01,SS,520200,2015,1,TOR,AL,128,376,52,94,16,4,5
gosean01,OF,525000,2015,1,DET,AL,140,485,73,123,24,8,5
hechaad01,SS,2625000,2015,1,MIA,NL,130,470,54,132,17,6,5
jasojo01,OF,4000000,2015,1,TBA,AL,70,185,23,53,17,0,5
joycema01,OF,1000000,2015,1,LAA,AL,93,247,17,43,12,1,5
martile01,OF,4150000,2015,1,TEX,AL,95,288,26,63,12,0,5
navardi01,C,4000000,2015,1,TOR,AL,54,171,17,42,7,0,5
phamth01,OF,510000,2015,1,SLN,NL,52,153,28,41,7,5,5
rendoan01,3B,2800000,2015,1,WAS,NL,80,311,43,82,16,0,5
spande01,OF,5000000,2015,1,WAS,NL,61,246,38,74,17,0,5
suzukku01,C,6000000,2015,1,MIN,AL,131,433,36,104,17,0,5
swihabl01,C,518500,2015,1,BOS,AL,84,288,47,79,17,1,5
uptonbj01,OF,15450000,2015,1,SDN,NL,87,205,23,53,12,4,5
