,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
710,2001,SDN,NL,kotsama01,OF,2125000,2000,1,FLO,NL,152,530,87,158,31,5,12,57,19,9,42,46,2,0,2,4,17
409,2001,KCA,AL,mccarda01,OF,750000,2000,1,KCA,AL,103,270,34,75,14,2,12,53,0,0,22,68,1,0,0,3,6
153,2001,BOS,AL,nixontr01,OF,390000,2000,1,BOS,AL,123,427,66,118,27,8,12,60,8,1,63,85,2,2,5,5,11
161,2001,BOS,AL,stynech01,OF,1300000,2000,1,CIN,NL,119,380,71,127,24,1,12,40,5,2,32,54,2,2,3,3,5
748,2001,SEA,AL,widgech01,OF,1700000,2000,1,MON,NL,86,281,31,67,17,2,12,34,1,2,29,61,3,1,0,1,5
101,2001,BAL,AL,coninje01,OF,3000000,2000,1,BAL,AL,119,409,53,116,20,2,13,46,4,3,36,53,1,2,0,4,14
497,2001,MIN,AL,lawtoma02,OF,3900000,2000,1,MIN,AL,156,561,84,171,44,2,13,88,23,7,91,63,8,7,0,5,10
235,2001,CIN,NL,ochoaal01,OF,1600000,2000,1,CIN,NL,118,244,50,77,21,3,13,58,9,4,24,27,3,3,0,4,7
157,2001,BOS,AL,oleartr01,OF,4600000,2000,1,BOS,AL,138,513,68,134,30,4,13,70,0,2,44,76,2,2,0,4,12
125,2001,BAL,AL,richach01,OF,232500,2000,2,BAL,AL,56,199,38,55,14,2,13,36,7,5,15,38,3,4,0,3,5
93,2001,ATL,NL,surhobj01,OF,4833333,2000,1,BAL,AL,103,411,56,120,27,0,13,57,7,2,29,46,3,2,1,1,5
319,2001,DET,AL,encarju01,OF,4400000,2000,1,DET,AL,141,547,75,158,25,6,14,72,16,4,29,90,1,7,3,4,15
442,2001,LAN,NL,grissma02,OF,5000000,2000,1,MIL,NL,146,595,67,145,18,2,14,62,20,10,39,99,2,0,2,4,9
851,2001,TEX,AL,kaplega01,OF,450000,2000,1,TEX,AL,116,444,59,134,32,1,14,66,8,4,42,57,2,0,2,3,12
360,2001,FLO,NL,millake01,OF,700000,2000,1,FLO,NL,123,259,36,67,14,3,14,42,0,0,36,47,0,8,0,2,5
570,2001,NYN,NL,agbaybe01,OF,260000,2000,1,NYN,NL,119,350,59,101,19,1,15,60,5,5,54,68,2,7,0,3,6
199,2001,CHN,NL,buforda01,OF,1100000,2000,1,CHN,NL,150,495,64,124,18,3,15,48,4,6,47,118,3,8,4,2,9
264,2001,CLE,AL,loftoke01,OF,8000000,2000,1,CLE,AL,137,543,107,151,23,5,15,73,30,7,79,72,3,4,6,8,11
