playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
crawfbr01,2014,1,SFN,NL,153,491,54,121,20,10,10,69,5,3,59,129,10,2,2,10,4
montemi01,2014,1,ARI,NL,136,489,40,119,23,0,13,72,0,4,56,97,11,9,0,6,12
eatonad02,2014,1,CHA,AL,123,486,76,146,26,10,1,35,15,9,43,83,0,5,2,2,4
gomesya01,2014,1,CLE,AL,135,485,61,135,25,3,21,74,0,0,24,120,3,3,0,6,13
navardi01,2014,1,TOR,AL,139,481,40,132,22,0,12,69,3,0,32,76,1,1,0,6,12
jennide01,2014,1,TBA,AL,123,479,64,117,30,2,10,36,15,6,47,108,0,6,9,1,10
chiselo01,2014,1,CLE,AL,142,478,62,134,29,1,13,59,3,1,39,99,3,8,4,3,8
valbulu01,2014,1,CHN,NL,149,478,68,119,33,4,16,51,1,2,65,113,4,2,1,1,8
encared01,2014,1,TOR,AL,128,477,75,128,27,2,34,98,2,0,62,82,6,2,0,1,18
escobyu01,2014,1,TBA,AL,137,476,33,123,18,0,7,39,1,1,43,60,3,4,4,2,15
browndo01,2014,1,PHI,NL,144,473,47,111,22,1,10,63,7,1,34,91,4,1,0,4,9
cainlo01,2014,1,KCA,AL,133,471,55,142,29,4,5,53,28,5,24,108,2,4,0,3,9
castrja01,2014,1,HOU,AL,126,465,43,103,21,2,14,56,1,0,34,151,1,9,1,3,11
gillaco01,2014,1,CHA,AL,130,464,50,131,31,5,7,57,0,4,36,78,4,3,0,3,5
crispco01,2014,1,OAK,AL,126,463,68,114,21,3,9,47,19,5,66,66,2,0,1,6,3
freesda01,2014,1,LAA,AL,134,462,53,120,25,1,10,55,1,3,38,124,0,6,0,5,10
phillbr01,2014,1,CIN,NL,121,462,44,123,25,0,8,51,2,3,23,74,1,6,2,6,13
davisra01,2014,1,DET,AL,134,461,64,130,27,2,8,51,36,11,22,75,0,5,3,3,7
moustmi01,2014,1,KCA,AL,140,457,45,97,21,1,15,54,1,0,35,74,1,3,1,4,12
choosh01,2014,1,TEX,AL,123,455,58,110,19,1,13,40,3,4,58,131,3,12,0,4,9
mauerjo01,2014,1,MIN,AL,120,455,60,126,27,2,4,55,3,0,60,96,12,1,0,2,12
schoojo01,2014,1,BAL,AL,137,455,48,95,18,0,16,45,2,0,13,122,0,8,5,0,12
suzukku01,2014,1,MIN,AL,131,452,37,130,34,0,3,61,0,1,34,46,0,9,1,7,9
davisch02,2014,1,BAL,AL,127,450,65,88,16,0,26,72,2,1,60,173,9,9,1,5,2
holtbr01,2014,1,BOS,AL,106,449,68,126,23,5,4,29,12,2,33,98,0,2,5,3,7
ramirha01,2014,1,LAN,NL,128,449,64,127,35,0,13,71,14,5,56,84,2,6,0,1,10
bournmi01,2014,1,CLE,AL,106,444,57,114,17,10,3,28,10,6,35,114,1,3,3,2,5
smithse01,2014,1,SDN,NL,136,443,55,118,31,5,12,48,1,1,69,87,3,4,0,4,9
martijd02,2014,1,DET,AL,123,441,57,139,30,3,23,76,6,3,30,126,5,3,0,6,8
gennesc01,2014,1,MIL,NL,137,440,55,127,31,3,9,54,6,3,22,67,5,0,8,4,11
teixema01,2014,1,NYA,AL,123,440,56,95,14,0,22,62,1,1,58,109,3,6,0,4,13
morsemi01,2014,1,SFN,NL,131,438,48,122,32,3,16,61,0,0,31,121,0,9,0,4,19
zuninmi01,2014,1,SEA,AL,131,438,51,87,20,2,22,60,0,3,17,158,1,17,0,4,12
dickeco01,2014,1,COL,NL,131,436,74,136,27,6,24,76,8,7,37,101,6,1,0,4,6
fowlede01,2014,1,HOU,AL,116,434,61,120,21,4,8,35,11,4,66,108,2,3,1,1,6
escobed01,2014,1,MIN,AL,133,433,52,119,35,2,6,37,1,1,24,93,1,2,4,2,6
arenano01,2014,1,COL,NL,111,432,58,124,34,2,18,61,2,1,25,58,1,4,1,5,13
amarial01,2014,1,SDN,NL,148,423,39,101,13,2,5,40,12,1,29,69,5,1,8,5,6
inciaen01,2014,1,ARI,NL,118,418,54,116,18,2,4,27,19,3,25,53,0,0,4,0,3
joycema01,2014,1,TBA,AL,140,418,51,106,23,2,9,52,2,5,62,111,4,4,0,9,11
lagarju01,2014,1,NYN,NL,116,416,46,117,24,3,4,47,13,4,20,87,1,7,3,6,6
murphda07,2014,1,CLE,AL,129,416,40,109,25,1,8,58,2,3,36,61,2,2,1,7,6
napolmi01,2014,1,BOS,AL,119,415,49,103,20,0,17,55,3,2,78,133,3,4,0,3,12
jayjo02,2014,1,SLN,NL,140,413,52,125,16,3,3,46,6,3,28,78,3,20,3,4,17
flowety01,2014,1,CHA,AL,127,407,42,98,16,1,15,50,0,1,25,159,0,8,1,1,10
goldspa01,2014,1,ARI,NL,109,406,75,122,39,1,19,69,9,3,64,110,10,2,0,3,10
parrage01,2014,1,ARI,NL,104,406,51,105,18,3,6,30,5,5,24,72,3,4,4,2,6
venabwi01,2014,1,SDN,NL,146,406,47,91,13,2,8,33,11,6,33,107,2,4,3,2,6
santada01,2014,1,MIN,AL,101,405,70,129,27,7,7,40,20,4,19,98,0,3,2,1,3
callaal01,2014,1,OAK,AL,127,404,37,90,15,0,4,39,0,1,40,50,1,1,0,6,18
molinya01,2014,1,SLN,NL,110,404,40,114,21,0,7,38,1,1,28,55,4,6,1,6,14
beltrca01,2014,1,NYA,AL,109,403,46,94,23,0,15,49,3,1,37,80,2,4,0,5,11
pradoma01,2014,1,ARI,NL,106,403,44,109,17,4,5,42,2,1,23,57,0,6,0,4,17
wongko01,2014,1,SLN,NL,113,402,52,100,14,3,12,42,20,4,21,71,3,4,5,1,12
gyorkje01,2014,1,SDN,NL,111,400,37,84,17,1,10,51,3,2,36,100,1,4,0,3,8
cespeyo01,2014,1,OAK,AL,101,399,62,102,26,3,17,67,3,2,28,80,3,1,0,4,8
alvarpe01,2014,1,PIT,NL,122,398,46,92,13,1,18,56,8,3,45,113,6,2,0,0,12
ascheco01,2014,1,PHI,NL,121,397,43,100,25,0,10,46,0,1,33,102,4,0,3,1,6
deazaal01,2014,1,CHA,AL,122,395,45,96,19,5,5,31,15,7,33,100,2,6,2,3,6
blancgr01,2014,1,SFN,NL,146,393,51,102,18,6,5,38,16,5,41,77,1,3,6,1,4
avilaal01,2014,1,DET,AL,124,390,44,85,22,0,11,47,0,3,61,151,1,3,1,2,6
beckhgo01,2014,1,CHA,AL,101,390,43,86,24,0,7,36,3,0,19,70,1,5,3,5,12
stubbdr01,2014,1,COL,NL,132,388,67,112,22,4,15,43,20,3,30,136,1,1,2,3,4
odorro01,2014,1,TEX,AL,114,386,39,100,14,7,9,48,4,7,17,71,1,5,6,3,7
uribeju01,2014,1,LAN,NL,103,386,36,120,23,0,9,54,0,1,15,77,2,1,0,2,15
coghlch01,2014,1,CHN,NL,125,385,50,109,28,5,9,41,7,4,39,81,2,3,3,2,5
darnatr01,2014,1,NYN,NL,108,385,48,93,22,3,13,41,1,0,32,64,5,2,1,1,15
norride01,2014,1,OAK,AL,127,385,46,104,19,1,10,55,2,2,54,86,2,1,1,1,12
bradlja02,2014,1,BOS,AL,127,384,45,76,19,2,1,30,8,0,31,121,1,5,1,2,10
mesorde01,2014,1,CIN,NL,114,384,54,105,25,0,25,80,1,3,41,103,4,12,0,3,5
paganan01,2014,1,SFN,NL,96,383,56,115,21,2,3,27,16,6,25,53,1,1,1,3,5
rosarwi01,2014,1,COL,NL,106,382,46,102,25,0,13,54,1,0,23,70,5,0,0,5,17
ruizca01,2014,1,PHI,NL,110,381,43,96,25,1,6,31,4,2,46,60,1,12,1,5,11
castiwe01,2014,1,CHN,NL,110,380,28,90,19,0,13,46,0,0,26,102,0,7,2,2,7
martiru01,2014,1,PIT,NL,111,379,45,110,20,0,11,67,4,4,59,78,5,15,2,5,16
cabreas01,2014,1,CLE,AL,97,378,54,93,22,2,9,40,7,2,27,79,1,7,0,4,11
reynoma01,2014,1,MIL,NL,130,378,47,74,9,0,22,45,5,1,47,122,3,3,1,4,8
grandya01,2014,1,SDN,NL,128,377,47,85,19,1,15,49,3,0,58,115,1,2,0,6,7
jacksau01,2014,1,DET,AL,100,374,52,102,25,5,4,33,9,4,35,85,0,2,1,8,9
saltaja01,2014,1,MIA,NL,114,373,43,82,20,0,11,44,0,1,55,143,4,2,0,5,11
arciaos01,2014,1,MIN,AL,103,372,46,86,16,3,20,57,1,2,31,127,4,6,0,1,6
gattiev01,2014,1,ATL,NL,108,369,41,97,17,1,22,52,0,0,22,97,3,8,0,2,9
craigal01,2014,1,SLN,NL,97,367,34,87,17,1,7,44,1,1,26,77,0,3,0,2,11
millebr02,2014,1,SEA,AL,123,367,47,81,15,4,10,36,4,2,34,95,2,2,3,3,2
dunnad01,2014,1,CHA,AL,106,363,43,80,17,0,20,54,1,1,65,132,5,3,0,4,5
navada01,2014,1,BOS,AL,113,363,41,98,21,0,4,37,4,2,33,81,1,10,0,2,5
reddijo01,2014,1,OAK,AL,109,363,53,96,16,7,12,54,1,1,28,63,0,1,0,3,3
grossro01,2014,1,HOU,AL,103,360,42,84,14,2,6,37,9,3,55,105,1,2,3,2,7
swishni01,2014,1,CLE,AL,97,360,33,75,20,0,8,42,0,0,36,111,0,0,1,4,7
suzukic01,2014,1,NYA,AL,143,359,42,102,13,2,1,22,15,3,21,68,1,1,2,2,3
