,playerID,salary,POS,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
1,abbotku01,500000,SS,1999,1,COL,NL,96,286,41,78,17,2,8,41,3,2,16,69,0,0,2,1,4
47,barremi01,265000,SS,1999,1,MON,NL,126,433,53,127,32,3,8,52,0,2,32,39,4,3,0,1,18
113,cabreor01,265000,SS,1999,1,MON,NL,104,382,48,97,23,5,8,39,2,2,18,38,4,3,4,0,9
60,belliro01,250000,SS,1999,1,MIL,NL,124,457,60,135,29,4,8,58,4,5,64,59,0,0,6,4,16
80,blumge01,210000,SS,1999,1,MON,NL,45,133,21,32,7,2,8,18,1,0,17,25,3,0,3,0,3
242,gaettga01,350000,SS,1999,1,CHN,NL,113,280,22,57,9,1,9,46,0,1,21,51,0,2,0,5,5
361,jacksda04,250000,SS,1999,1,SDN,NL,133,388,56,87,20,2,9,39,34,10,53,105,3,3,0,3,2
89,bordimi01,3000000,SS,1999,1,BAL,AL,160,631,93,175,35,7,10,77,14,4,54,102,1,5,8,10,25
634,reesepo01,1950000,SS,1999,1,CIN,NL,149,585,85,167,37,5,10,52,38,7,35,81,3,6,5,5,9
771,valenjo03,1320000,SS,1999,1,MIL,NL,89,256,45,58,9,5,10,38,3,2,48,52,7,2,2,5,3
703,shumpte01,650000,SS,1999,1,COL,NL,92,262,58,91,26,3,10,37,14,0,31,41,2,2,4,5,2
639,renteed01,2250000,SS,1999,1,SLN,NL,154,585,92,161,36,2,11,63,37,8,53,82,0,2,6,7,16
415,larkiba01,5300000,SS,1999,1,CIN,NL,161,583,108,171,30,4,12,75,30,8,93,57,5,2,5,4,12
593,perezne01,2212500,SS,1999,1,COL,NL,157,690,108,193,27,11,12,70,13,5,28,54,0,1,9,4,4
160,cruzde01,1975000,SS,1999,1,DET,AL,155,518,64,147,35,0,13,58,1,4,12,57,0,4,14,5,10
127,chaveer01,240000,SS,1999,1,OAK,AL,115,356,47,88,21,2,13,50,1,1,46,56,4,0,0,0,7
138,claytro01,4500000,SS,1999,1,TEX,AL,133,465,69,134,21,5,14,52,8,6,39,100,1,4,9,3,6
86,booneaa01,300000,SS,1999,1,CIN,NL,139,472,56,132,26,5,14,72,17,6,30,79,2,8,5,5,6
263,gonzaal02,295000,SS,1999,1,FLO,NL,136,560,81,155,28,8,14,59,3,5,15,113,0,12,1,3,13
325,hernajo01,3333333,SS,1999,1,CHN,NL,99,342,57,93,12,2,15,43,7,2,40,101,3,5,1,0,5
195,easleda01,3950000,SS,1999,1,DET,AL,151,549,83,146,30,1,20,65,11,3,51,124,2,19,2,6,15
56,bellda01,1425000,SS,1999,1,SEA,AL,157,597,92,160,31,2,21,78,7,4,58,90,0,2,3,7,7
172,davisru01,1000000,SS,1999,1,SEA,AL,124,432,55,106,17,1,21,59,3,3,32,111,1,5,7,2,13
752,tejadmi01,290000,SS,1999,1,OAK,AL,159,593,93,149,33,4,21,84,8,7,57,94,3,10,9,5,11
36,aurilri01,1550000,SS,1999,1,SFN,NL,152,558,68,157,23,1,22,80,2,3,43,71,3,5,3,5,16
369,jeterde01,10000000,SS,1999,1,NYA,AL,158,627,134,219,37,9,24,102,19,8,91,116,5,12,3,6,12
248,garcino01,3700000,SS,1999,1,BOS,AL,135,532,103,190,42,4,27,104,14,3,51,39,7,8,0,4,11
61,bellja01,7000000,SS,1999,1,ARI,NL,151,589,132,170,32,6,38,112,7,4,82,132,2,4,4,9,9
657,rodrial01,4362500,SS,1999,1,SEA,AL,129,502,110,143,25,0,42,111,21,7,56,109,2,5,1,8,12
381,jonesch06,4750000,SS,1999,1,ATL,NL,157,567,116,181,41,1,45,110,25,3,126,94,18,2,0,6,20
