teamID_x,lgID_x,playerID,POS,salary
SLN,NL,grichra01,OF,520000
TBA,AL,morrilo01,OF,4200000
ARI,NL,peralda01,OF,529600
SFN,NL,beltbr01,OF,6200000
BOS,AL,bettsmo01,OF,566000
NYN,NL,cespeyo01,OF,27328046
KCA,AL,hosmeer01,OF,8250000
NYA,AL,beltrca01,OF,15000000
CLE,AL,byrdma01,OF,1000000
PIT,NL,martest01,OF,3333333
BOS,AL,ramirha01,OF,22750000
ARI,NL,polloaj01,OF,3500000
OAK,AL,reddijo01,OF,6575000
TEX,AL,choosh01,OF,20000000
SDN,NL,kempma01,OF,21500000
PIT,NL,mccutan01,OF,13208333
MIL,NL,braunry02,OF,19315013
HOU,AL,rasmuco01,OF,15800000
CIN,NL,bruceja01,OF,12541666
CHN,NL,bryankr01,OF,652000
LAA,AL,calhoko01,OF,3400000
NYN,NL,grandcu01,OF,16000000
LAN,NL,pederjo01,OF,520000
DET,AL,uptonju01,OF,22125000
OAK,AL,daviskh01,OF,524500
HOU,AL,gattiev01,OF,3300000
BAL,AL,jonesad01,OF,16329674
MIA,NL,stantmi03,OF,9000000
DET,AL,martijd02,OF,6750000
TOR,AL,bautijo02,OF,14000000
COL,NL,gonzaca01,OF,17428571
LAA,AL,troutmi01,OF,16083333
WAS,NL,harpebr03,OF,5000000
SEA,AL,cruzne02,OF,14250000
BAL,AL,davisch02,OF,21268890
CHN,NL,rossda01,OF,2500000
MIA,NL,suzukic01,OF,2000000
COL,NL,raburry01,OF,1500000
WAS,NL,robincl01,OF,534900
ATL,NL,francje02,OF,1000000
