yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,Birth year,Age,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA,Age_Dummy
2015,WAS,NL,werthja01,OF,21000000,2014,1979,35,WAS,NL,147,534,85,156,37,1,16,82,9,1,83,113,3,9,0,3,9,0.394,0.455,0,0,632,0
2015,MIA,NL,stantmi03,OF,6500000,2014,1989,25,MIA,NL,145,539,89,155,31,1,37,105,13,1,94,170,24,3,0,2,16,0.395,0.555,0,0,662,1
2015,TOR,AL,donaljo02,3B,4300000,2014,1985,29,OAK,AL,158,608,93,155,31,2,29,98,8,0,76,130,5,7,0,4,16,0.342,0.456,0,1,700,0
2015,SDN,NL,kempma01,OF,21250000,2014,1984,30,LAN,NL,150,541,77,155,38,3,25,89,8,5,52,145,3,0,0,6,21,0.346,0.506,0,0,602,0
2015,SLN,NL,heywaja01,OF,7800000,2014,1989,25,ATL,NL,149,573,74,155,26,3,11,58,20,4,67,98,3,6,0,3,2,0.351,0.384,0,0,652,1
2015,OAK,AL,zobribe01,SS,7500000,2014,1981,33,TBA,AL,146,570,83,155,34,3,10,52,10,5,75,84,4,1,2,6,8,0.353,0.395,0,1,658,0
2015,CHN,NL,castrst01,SS,6857143,2014,1990,24,CHN,NL,134,528,58,154,33,1,14,65,4,4,35,100,4,4,0,2,18,0.339,0.438,0,1,573,1
2015,SDN,NL,uptonju01,OF,14500000,2014,1987,27,ATL,NL,154,566,77,153,34,2,29,102,8,4,60,171,1,6,0,8,10,0.342,0.491,0,0,641,1
2015,ATL,NL,johnsch05,3B,6000000,2014,1984,30,ATL,NL,153,582,43,153,27,0,10,58,6,0,23,159,2,2,2,2,23,0.291,0.361,0,1,613,0
2015,BOS,AL,pedrodu01,2B,12500000,2014,1983,31,BOS,AL,135,551,72,153,33,0,7,53,6,6,51,75,1,1,0,6,14,0.337,0.376,0,1,610,0
2015,MIA,NL,ozunama01,OF,545000,2014,1990,24,MIA,NL,153,565,72,152,26,5,23,85,3,1,41,164,1,1,0,5,12,0.317,0.455,0,0,613,1
2015,SLN,NL,adamsma01,1B,534000,2014,1988,26,SLN,NL,142,527,55,152,34,5,15,68,3,2,26,114,5,3,0,7,9,0.321,0.457,0,0,568,1
2015,WAS,NL,desmoia01,SS,11000000,2014,1985,29,WAS,NL,154,593,73,151,26,3,24,91,24,5,46,183,0,6,0,3,17,0.313,0.430,0,1,648,0
2015,CHN,NL,rizzoan01,1B,5000000,2014,1989,25,CHN,NL,140,524,89,150,28,1,32,78,5,4,73,116,7,15,0,4,8,0.386,0.527,0,0,623,1
2015,KCA,AL,gordoal01,OF,12500000,2014,1984,30,KCA,AL,156,563,87,150,34,1,19,74,12,3,65,126,5,11,0,4,11,0.351,0.432,0,0,648,0
2015,KCA,AL,perezsa02,C,1750000,2014,1990,24,KCA,AL,150,578,57,150,28,2,17,70,1,0,22,85,2,3,0,3,22,0.289,0.403,1,0,608,1
2015,OAK,AL,butlebi03,1B,6666000,2014,1986,28,KCA,AL,151,549,57,149,32,0,9,66,0,0,41,96,3,5,0,8,21,0.323,0.379,0,0,606,0
2015,MIA,NL,hechaad01,SS,1925000,2014,1989,25,MIA,NL,146,536,53,148,20,10,1,34,7,5,26,86,5,1,4,6,21,0.305,0.356,0,1,578,1
2015,SLN,NL,peraljh01,SS,15000000,2014,1982,32,SLN,NL,157,560,61,147,38,0,21,75,3,2,58,112,2,6,0,4,19,0.336,0.443,0,1,630,0
2015,TEX,AL,martile01,OF,4750000,2014,1988,26,TEX,AL,155,533,68,146,13,7,7,40,31,12,39,114,3,2,7,2,4,0.321,0.364,0,0,586,1
2015,CHA,AL,eatonad02,OF,850000,2014,1988,26,CHA,AL,123,486,76,146,26,10,1,35,15,9,43,83,0,5,2,2,4,0.361,0.401,0,0,538,1
2015,MIN,AL,doziebr01,2B,2000000,2014,1987,27,MIN,AL,156,598,112,145,33,1,23,71,21,7,89,129,1,9,3,8,8,0.344,0.416,0,1,708,1
2015,PIT,NL,martest01,OF,1333333,2014,1988,26,PIT,NL,135,495,73,144,29,6,13,56,30,11,33,131,0,17,0,0,5,0.356,0.453,0,0,545,1
2015,NYN,NL,wrighda03,3B,20000000,2014,1982,32,NYN,NL,134,535,54,144,30,1,8,63,8,5,42,113,5,4,0,5,22,0.324,0.374,0,1,591,0
2015,NYA,AL,gardnbr01,OF,12500000,2014,1983,31,NYA,AL,148,555,87,142,25,8,17,58,21,5,56,134,0,6,13,6,3,0.321,0.422,0,0,636,0
2015,BAL,AL,hardyjj01,SS,11500000,2014,1982,32,BAL,AL,141,529,56,142,28,0,9,52,0,0,29,104,1,4,3,4,12,0.308,0.372,0,1,570,0
2015,KCA,AL,cainlo01,OF,2725000,2014,1986,28,KCA,AL,133,471,55,142,29,4,5,53,28,5,24,108,2,4,0,3,9,0.339,0.412,0,0,504,0
2015,MIL,NL,braunry02,OF,13000000,2014,1983,31,MIL,NL,135,530,68,141,30,6,19,81,11,5,41,113,3,6,0,3,17,0.324,0.453,0,0,583,0
2015,MIL,NL,ramirar01,3B,14000000,2014,1978,36,MIL,NL,133,494,47,141,23,1,15,66,3,0,21,75,2,13,0,3,18,0.330,0.427,0,1,533,0
2015,CIN,NL,hamilbi02,OF,545000,2014,1990,24,CIN,NL,152,563,72,141,25,8,6,48,56,23,34,117,0,1,9,4,1,0.288,0.355,0,0,611,1
2015,SFN,NL,aokino01,OF,4000000,2014,1982,32,KCA,AL,132,491,63,140,22,6,1,43,17,8,43,49,0,6,8,1,5,0.344,0.360,0,0,549,0
2015,DET,AL,martijd02,OF,3000000,2014,1987,27,DET,AL,123,441,57,139,30,3,23,76,6,3,30,126,5,3,0,6,8,0.358,0.553,0,0,485,1
2015,PIT,NL,walkene01,2B,8000000,2014,1985,29,PIT,NL,137,512,74,139,25,3,23,76,2,2,45,88,2,11,1,2,12,0.342,0.467,0,1,573,0
2015,DET,AL,casteni01,3B,525000,2014,1992,22,DET,AL,148,533,50,138,31,4,11,66,2,2,36,140,3,3,0,7,7,0.306,0.394,0,1,582,1
2015,KCA,AL,riosal01,OF,11000000,2014,1981,33,TEX,AL,131,492,54,138,30,8,4,54,17,9,23,93,3,1,0,5,19,0.311,0.398,0,0,524,0
2015,BOS,AL,ortizda01,1B,16000000,2014,1975,39,BOS,AL,142,518,59,136,27,0,35,104,0,0,75,95,22,3,0,6,18,0.355,0.517,0,0,624,0
2015,COL,NL,dickeco01,OF,512500,2014,1989,25,COL,NL,131,436,74,136,27,6,24,76,8,7,37,101,6,1,0,4,6,0.364,0.567,0,0,484,1
2015,KCA,AL,hosmeer01,1B,5650000,2014,1989,25,KCA,AL,131,503,54,136,35,1,9,58,4,2,35,93,4,3,0,6,12,0.318,0.398,0,0,551,1
2015,CLE,AL,gomesya01,C,1000000,2014,1987,27,CLE,AL,135,485,61,135,25,3,21,74,0,0,24,120,3,3,0,6,13,0.313,0.472,1,0,521,1
2015,LAA,AL,calhoko01,OF,537500,2014,1987,27,LAA,AL,127,493,90,134,31,3,17,58,5,3,38,104,0,2,2,2,5,0.324,0.450,0,0,537,1
2015,MIN,AL,plouftr01,3B,4800000,2014,1986,28,MIN,AL,136,520,69,134,40,2,14,80,2,1,53,109,2,4,0,5,12,0.328,0.423,0,1,584,0
2015,CLE,AL,chiselo01,3B,2250000,2014,1988,26,CLE,AL,142,478,62,134,29,1,13,59,3,1,39,99,3,8,4,3,8,0.340,0.427,0,1,535,1
2015,KCA,AL,infanom01,2B,7500000,2014,1981,33,KCA,AL,135,528,50,133,21,3,6,66,9,3,33,68,3,2,5,7,7,0.292,0.337,0,1,578,0
2015,TOR,AL,navardi01,C,5000000,2014,1984,30,TOR,AL,139,481,40,132,22,0,12,69,3,0,32,76,1,1,0,6,12,0.317,0.395,1,0,521,0
2015,ATL,NL,simmoan01,SS,3000000,2014,1989,25,ATL,NL,146,540,44,132,18,4,7,46,4,5,32,60,4,0,2,2,25,0.285,0.331,0,1,580,1
2015,COL,NL,lemahdj01,SS,517500,2014,1988,26,COL,NL,149,494,59,132,15,5,5,42,10,10,33,97,7,2,7,2,13,0.310,0.348,0,1,545,1
2015,LAN,NL,rolliji01,SS,11000000,2014,1978,36,PHI,NL,138,538,78,131,22,4,17,55,28,6,64,100,2,1,3,3,6,0.322,0.394,0,1,611,0
2015,CHA,AL,gillaco01,3B,550000,2014,1987,27,CHA,AL,130,464,50,131,31,5,7,57,0,4,36,78,4,3,0,3,5,0.336,0.416,0,1,510,1
2015,NYN,NL,dudalu01,OF,4200000,2014,1986,28,NYN,NL,153,514,74,130,27,0,30,92,3,2,69,135,8,9,0,4,9,0.349,0.481,0,0,604,0
2015,DET,AL,davisra01,OF,5000000,2014,1980,34,DET,AL,134,461,64,130,27,2,8,51,36,11,22,75,0,5,3,3,7,0.318,0.401,0,0,494,0
2015,MIN,AL,suzukku01,C,6000000,2014,1983,31,MIN,AL,131,452,37,130,34,0,3,61,0,1,34,46,0,9,1,7,9,0.344,0.383,1,0,503,0
2015,BOS,AL,bogaexa01,SS,543000,2014,1992,22,BOS,AL,144,538,60,129,28,1,12,46,2,3,39,138,1,8,2,7,11,0.296,0.362,0,1,595,1
2015,PIT,NL,mercejo03,SS,538000,2014,1986,28,PIT,NL,149,506,56,129,27,2,12,55,4,1,35,89,12,4,5,5,14,0.303,0.387,0,1,567,0
2015,MIN,AL,santada01,SS,530000,2014,1990,24,MIN,AL,101,405,70,129,27,7,7,40,20,4,19,98,0,3,2,1,3,0.351,0.472,0,1,430,1
2015,TOR,AL,encared01,OF,10000000,2014,1983,31,TOR,AL,128,477,75,128,27,2,34,98,2,0,62,82,6,2,0,1,18,0.354,0.547,0,0,548,0
2015,CHA,AL,larocad01,1B,12000000,2014,1979,35,WAS,NL,140,494,73,128,19,0,26,92,3,0,82,108,9,2,0,8,13,0.362,0.455,0,0,595,0
2015,NYN,NL,grandcu01,OF,16000000,2014,1981,33,NYN,NL,155,564,73,128,27,2,20,66,8,2,79,141,1,6,0,5,1,0.326,0.388,0,0,655,0
2015,PHI,NL,howarry01,1B,25000000,2014,1979,35,PHI,NL,153,569,65,127,18,1,23,95,0,0,67,190,7,7,0,5,10,0.310,0.380,0,0,655,0
2015,BOS,AL,ramirha01,SS,19750000,2014,1983,31,LAN,NL,128,449,64,127,35,0,13,71,14,5,56,84,2,6,0,1,10,0.369,0.448,0,1,514,0
2015,MIL,NL,gennesc01,OF,516500,2014,1990,24,MIL,NL,137,440,55,127,31,3,9,54,6,3,22,67,5,0,8,4,11,0.314,0.434,0,0,479,1
2015,MIL,NL,segurje01,SS,534000,2014,1990,24,MIL,NL,146,513,61,126,14,6,5,31,20,9,28,70,5,4,10,2,13,0.284,0.326,0,1,562,1
2015,BOS,AL,holtbr01,SS,530500,2014,1988,26,BOS,AL,106,449,68,126,23,5,4,29,12,2,33,98,0,2,5,3,7,0.327,0.381,0,1,492,1
2015,MIN,AL,mauerjo01,1B,23000000,2014,1983,31,MIN,AL,120,455,60,126,27,2,4,55,3,0,60,96,12,1,0,2,12,0.361,0.371,0,0,530,0
2015,CLE,AL,santaca01,C,6000000,2014,1986,28,CLE,AL,152,541,68,125,25,0,27,85,5,2,113,124,5,3,0,3,13,0.365,0.427,1,0,665,0
2015,HOU,AL,lowrije01,SS,8000000,2014,1984,30,OAK,AL,136,502,59,125,29,3,6,50,0,0,51,79,5,5,2,6,14,0.320,0.355,0,1,571,0
2015,SLN,NL,jayjo02,OF,4125000,2014,1985,29,SLN,NL,140,413,52,125,16,3,3,46,6,3,28,78,3,20,3,4,17,0.370,0.378,0,0,471,0
2015,COL,NL,arenano01,3B,512500,2014,1991,23,COL,NL,111,432,58,124,34,2,18,61,2,1,25,58,1,4,1,5,13,0.328,0.500,0,1,468,1
2015,SEA,AL,ackledu01,OF,2600000,2014,1988,26,SEA,AL,143,502,64,123,27,4,14,65,8,4,32,90,1,3,3,2,10,0.292,0.398,0,0,543,1
2015,CIN,NL,phillbr01,2B,12000000,2014,1981,33,CIN,NL,121,462,44,123,25,0,8,51,2,3,23,74,1,6,2,6,13,0.305,0.372,0,1,500,0
2015,WAS,NL,escobyu01,SS,5000000,2014,1982,32,TBA,AL,137,476,33,123,18,0,7,39,1,1,43,60,3,4,4,2,15,0.321,0.340,0,1,532,0
2015,MIL,NL,daviskh01,OF,519500,2014,1987,27,MIL,NL,144,501,70,122,37,2,22,69,4,1,32,122,0,10,0,6,13,0.299,0.457,0,0,549,1
2015,ARI,NL,goldspa01,1B,3100000,2014,1987,27,ARI,NL,109,406,75,122,39,1,19,69,9,3,64,110,10,2,0,3,10,0.396,0.542,0,0,485,1
2015,NYA,AL,jonesga02,OF,5000000,2014,1981,33,MIA,NL,146,496,59,122,33,2,15,53,0,1,46,116,4,1,0,4,10,0.309,0.411,0,0,551,0
2015,ARI,NL,hillaa01,3B,12000000,2014,1982,32,ARI,NL,133,501,52,122,26,3,10,60,4,3,28,92,0,5,0,7,16,0.287,0.367,0,1,541,0
2015,SFN,NL,crawfbr01,SS,3175000,2014,1987,27,SFN,NL,153,491,54,121,20,10,10,69,5,3,59,129,10,2,2,10,4,0.323,0.389,0,1,574,1
2015,LAA,AL,freesda01,3B,6425000,2014,1983,31,LAA,AL,134,462,53,120,25,1,10,55,1,3,38,124,0,6,0,5,10,0.321,0.383,0,1,511,0
2015,LAN,NL,uribeju01,3B,6500000,2014,1979,35,LAN,NL,103,386,36,120,23,0,9,54,0,1,15,77,2,1,0,2,15,0.337,0.440,0,1,406,0
2015,CHN,NL,fowlede01,OF,9500000,2014,1986,28,HOU,AL,116,434,61,120,21,4,8,35,11,4,66,108,2,3,1,1,6,0.374,0.399,0,0,507,0
2015,CLE,AL,kipnija01,2B,4166666,2014,1987,27,CLE,AL,129,500,61,120,25,1,6,41,22,3,50,100,2,2,1,2,15,0.310,0.330,0,1,557,1
2015,HOU,AL,valbulu01,3B,4200000,2014,1985,29,CHN,NL,149,478,68,119,33,4,16,51,1,2,65,113,4,2,1,1,8,0.340,0.435,0,1,551,0
2015,CHN,NL,montemi01,C,12000000,2014,1983,31,ARI,NL,136,489,40,119,23,0,13,72,0,4,56,97,11,9,0,6,12,0.329,0.370,1,0,571,0
2015,MIN,AL,escobed01,SS,532500,2014,1989,25,MIN,AL,133,433,52,119,35,2,6,37,1,1,24,93,1,2,4,2,6,0.312,0.406,0,1,466,1
2015,SEA,AL,smithse01,OF,6000000,2014,1982,32,SDN,NL,136,443,55,118,31,5,12,48,1,1,69,87,3,4,0,4,9,0.367,0.440,0,0,523,0
2015,CLE,AL,mossbr01,OF,6500000,2014,1983,31,OAK,AL,147,500,70,117,23,2,25,81,1,0,67,153,7,10,0,3,6,0.334,0.438,0,0,587,0
2015,TBA,AL,jennide01,OF,3100000,2014,1986,28,TBA,AL,123,479,64,117,30,2,10,36,15,6,47,108,0,6,9,1,10,0.314,0.378,0,0,542,0
2015,NYN,NL,lagarju01,OF,528696,2014,1989,25,NYN,NL,116,416,46,117,24,3,4,47,13,4,20,87,1,7,3,6,6,0.319,0.382,0,0,453,1
2015,ARI,NL,inciaen01,OF,513000,2014,1990,24,ARI,NL,118,418,54,116,18,2,4,27,19,3,25,53,0,0,4,0,3,0.315,0.359,0,0,447,1
2015,HOU,AL,cartech02,OF,4175000,2014,1986,28,HOU,AL,145,507,68,115,21,1,37,88,5,2,56,182,6,5,0,4,12,0.308,0.491,0,0,578,0
2015,NYA,AL,mccanbr01,C,17000000,2014,1984,30,NYA,AL,140,495,57,115,15,1,23,75,0,0,32,77,1,7,0,4,16,0.286,0.406,1,0,539,0
2015,SFN,NL,paganan01,OF,10250000,2014,1981,33,SFN,NL,96,383,56,115,21,2,3,27,16,6,25,53,1,1,1,3,5,0.341,0.389,0,0,414,0
2015,OAK,AL,crispco01,OF,11000000,2014,1979,35,OAK,AL,126,463,68,114,21,3,9,47,19,5,66,66,2,0,1,6,3,0.336,0.363,0,0,538,0
2015,SLN,NL,molinya01,C,15000000,2014,1982,32,SLN,NL,110,404,40,114,21,0,7,38,1,1,28,55,4,6,1,6,14,0.333,0.386,1,0,449,0
2015,CLE,AL,bournmi01,OF,13500000,2014,1982,32,CLE,AL,106,444,57,114,17,10,3,28,10,6,35,114,1,3,3,2,5,0.312,0.360,0,0,488,0
2015,COL,NL,stubbdr01,OF,5825000,2014,1984,30,COL,NL,132,388,67,112,22,4,15,43,20,3,30,136,1,1,2,3,4,0.337,0.482,0,0,425,0
2015,CIN,NL,cozarza01,SS,2350000,2014,1985,29,CIN,NL,147,506,48,112,18,5,4,38,7,0,25,79,3,7,5,0,13,0.265,0.300,0,1,546,0
2015,PHI,NL,browndo01,OF,2600000,2014,1987,27,PHI,NL,144,473,47,111,22,1,10,63,7,1,34,91,4,1,0,4,9,0.285,0.349,0,0,516,1
2015,TEX,AL,choosh01,OF,14000000,2014,1982,32,TEX,AL,123,455,58,110,19,1,13,40,3,4,58,131,3,12,0,4,9,0.340,0.374,0,0,532,0
2015,TOR,AL,martiru01,C,7000000,2014,1983,31,PIT,NL,111,379,45,110,20,0,11,67,4,4,59,78,5,15,2,5,16,0.400,0.430,1,0,465,0
2015,CHN,NL,coghlch01,OF,2505000,2014,1985,29,CHN,NL,125,385,50,109,28,5,9,41,7,4,39,81,2,3,3,2,5,0.350,0.452,0,0,434,0
2015,CLE,AL,murphda07,OF,6000000,2014,1981,33,CLE,AL,129,416,40,109,25,1,8,58,2,3,36,61,2,2,1,7,6,0.318,0.385,0,0,464,0
2015,MIA,NL,pradoma01,OF,11000000,2014,1983,31,ARI,NL,106,403,44,109,17,4,5,42,2,1,23,57,0,6,0,4,17,0.317,0.370,0,0,436,0
2015,SDN,NL,uptonbj01,OF,14450000,2014,1984,30,ATL,NL,141,519,67,108,19,5,12,35,20,7,57,173,5,1,3,2,6,0.285,0.333,0,0,587,0
2015,COL,NL,tulowtr01,SS,20000000,2014,1984,30,COL,NL,91,315,71,107,18,1,21,52,1,1,50,57,4,5,0,5,4,0.432,0.603,0,1,379,0
2015,CIN,NL,bruceja01,OF,12000000,2014,1987,27,CIN,NL,137,493,71,107,21,1,18,66,12,3,44,149,5,2,1,5,8,0.281,0.373,0,0,550,1
2015,LAA,AL,joycema01,OF,4750000,2014,1984,30,TBA,AL,140,418,51,106,23,2,9,52,2,5,62,111,4,4,0,9,11,0.349,0.383,0,0,497,0
