playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
pachejo01,2015,1,ARI,NL,C,18,13,391,95,3,1,1,2,,9,2,
paganan01,2015,1,SFN,NL,OF,124,122,3184,258,2,4,2,,,,,
panikjo01,2015,1,SFN,NL,2B,99,95,2530,191,268,2,64,,,,,
papeljo01,2015,1,PHI,NL,P,37,0,119,3,3,2,0,,,,,
papeljo01,2015,2,WAS,NL,P,22,0,71,4,3,0,1,,,,,
paredji01,2015,1,BAL,AL,2B,6,6,155,11,17,0,2,,,,,
paredji01,2015,1,BAL,AL,3B,8,0,36,1,3,3,0,,,,,
paredji01,2015,1,BAL,AL,OF,3,1,27,2,0,0,0,,,,,
parkeja03,2015,1,SFN,NL,OF,15,12,344,19,0,0,0,,,,,
parkeky01,2015,1,COL,NL,1B,2,2,36,10,2,0,0,,,,,
parkeky01,2015,1,COL,NL,OF,32,25,628,35,0,1,0,,,,,
parmech01,2015,1,BAL,AL,1B,25,19,520,176,12,0,17,,,,,
parmech01,2015,1,BAL,AL,OF,8,7,165,16,1,1,1,,,,,
parnebo01,2015,1,NYN,NL,P,30,0,72,3,3,2,2,,,,,
parrage01,2015,1,MIL,NL,OF,89,75,2081,154,4,2,0,,,,,
parrage01,2015,2,BAL,AL,OF,55,51,1411,100,5,0,0,,,,,
parrama01,2015,1,CIN,NL,P,40,0,97,5,2,0,0,,,,,
parrian01,2015,1,OAK,AL,3B,6,0,30,0,1,0,1,,,,,
parrian01,2015,1,OAK,AL,SS,10,1,57,2,4,0,1,,,,,
pattosp01,2015,1,TEX,AL,P,27,0,72,2,3,0,1,,,,,
paulsbe01,2015,1,COL,NL,1B,91,66,1852,660,48,3,63,,,,,
paulsbe01,2015,1,COL,NL,OF,20,13,311,19,0,0,0,,,,,
paxtoja01,2015,1,SEA,AL,P,13,13,201,0,6,0,0,,,,,
pazosja01,2015,1,NYA,AL,P,11,0,15,0,1,0,0,,,,,
peacobr01,2015,1,HOU,AL,P,1,1,15,0,1,0,0,,,,,
pearcst01,2015,1,BAL,AL,1B,28,25,637,184,18,1,15,,,,,
pearcst01,2015,1,BAL,AL,2B,18,13,365,25,35,0,7,,,,,
pearcst01,2015,1,BAL,AL,OF,49,40,1085,72,4,2,0,,,,,
peavyja01,2015,1,SFN,NL,P,19,19,332,8,10,1,0,,,,,
pederjo01,2015,1,LAN,NL,OF,147,137,3669,269,5,4,1,,,,,
pedrodu01,2015,1,BOS,AL,2B,92,92,2399,165,272,6,61,,,,,
pegueca01,2015,1,TEX,AL,OF,27,17,502,36,1,0,0,,,,,
pegueca01,2015,2,BOS,AL,OF,4,1,51,5,0,0,0,,,,,
pelfrmi01,2015,1,MIN,AL,P,30,30,494,8,20,0,2,,,,,
penaar01,2015,1,MIL,NL,P,6,5,82,1,1,0,0,,,,,
penabr01,2015,1,CIN,NL,1B,5,0,39,22,1,0,1,,,,,
penabr01,2015,1,CIN,NL,C,86,84,2263,683,31,1,4,5,,58,13,
penafr01,2015,1,KCA,AL,C,8,1,63,12,0,0,0,0,,0,0,
pencehu01,2015,1,SFN,NL,OF,51,50,1323,122,4,3,2,,,,,
pennicl01,2015,1,ARI,NL,2B,11,7,227,10,25,1,4,,,,,
pennicl01,2015,1,ARI,NL,3B,12,1,79,2,6,1,0,,,,,
