,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
453,2001,LAN,NL,rebouje01,SS,450000,2000,1,KCA,AL,66,182,29,44,7,0,0,14,3,1,23,32,0,0,6,1,8
396,2001,HOU,NL,vizcajo01,SS,1500000,2000,2,NYA,AL,73,174,23,48,8,1,0,10,5,7,12,28,0,0,3,2,3
340,2001,FLO,NL,bergda01,SS,587500,2000,1,FLO,NL,82,210,23,53,14,1,1,21,3,0,25,46,0,5,1,4,5
657,2001,PHI,NL,perezto03,SS,280000,2000,1,PHI,NL,45,140,17,31,7,1,1,13,1,1,11,30,2,0,1,0,3
419,2001,KCA,AL,sanchre01,SS,2300000,2000,1,KCA,AL,143,509,68,139,18,2,1,38,7,3,28,55,0,4,11,3,17
694,2001,SDN,NL,ariasal01,SS,550000,2000,1,PHI,NL,70,155,17,29,9,0,2,15,1,0,16,28,2,3,3,3,1
667,2001,PIT,NL,benjami01,SS,925000,2000,1,PIT,NL,93,233,28,63,18,2,2,19,5,4,12,45,0,3,6,1,4
252,2001,CLE,AL,cabrejo02,SS,237000,2000,1,CLE,AL,100,175,27,44,3,1,2,15,6,4,8,15,0,2,1,1,1
176,2001,CHA,AL,graffto01,SS,375000,2000,2,CHA,AL,57,148,25,40,5,1,2,16,7,4,21,25,0,1,1,1,1
821,2001,TBA,AL,johnsru01,SS,270000,2000,2,TBA,AL,74,185,28,47,8,0,2,17,4,1,25,30,0,1,3,1,4
325,2001,DET,AL,maciajo01,SS,240000,2000,1,DET,AL,73,173,25,44,3,5,2,24,2,0,18,24,0,1,4,0,3
711,2001,SDN,NL,magadda01,SS,575000,2000,1,SDN,NL,95,132,13,36,7,0,2,21,0,0,32,23,1,0,0,2,4
824,2001,TBA,AL,martife01,SS,255000,2000,1,TBA,AL,106,299,42,64,11,4,2,17,9,3,32,68,0,8,12,2,4
584,2001,NYN,NL,mcewijo01,SS,252500,2000,1,NYN,NL,87,153,20,34,14,1,2,19,3,1,5,29,0,1,8,2,2
351,2001,FLO,NL,foxan01,SS,775000,2000,2,FLO,NL,69,164,19,40,4,2,3,10,8,3,18,37,3,3,0,0,1
146,2001,BOS,AL,grebecr01,SS,700000,2000,1,TOR,AL,66,241,38,71,19,0,3,23,0,0,25,33,0,2,1,1,7
321,2001,DET,AL,haltesh01,SS,420000,2000,1,DET,AL,105,238,26,62,12,2,3,27,5,2,14,49,0,1,10,2,5
591,2001,NYN,NL,relafde01,SS,475000,2000,1,PHI,NL,83,253,29,56,12,3,3,30,5,0,48,45,7,9,2,1,7
393,2001,HOU,NL,spierbi01,SS,1700000,2000,1,HOU,NL,124,355,41,107,17,3,3,43,7,4,49,38,3,1,2,2,8
225,2001,CIN,NL,castrju01,SS,400000,2000,1,CIN,NL,82,224,20,54,12,2,4,23,0,2,14,33,1,0,4,2,9
434,2001,LAN,NL,coraal01,SS,240000,2000,1,LAN,NL,109,353,39,84,18,6,4,32,4,1,26,53,4,7,6,2,6
70,2001,ATL,NL,furcara01,SS,355000,2000,1,ATL,NL,131,455,87,134,20,4,4,37,40,14,73,80,0,3,9,2,2
493,2001,MIN,AL,hockide01,SS,900000,2000,1,MIN,AL,134,373,52,111,24,4,4,47,7,5,48,77,1,0,7,5,2
526,2001,MON,NL,mordemi01,SS,375000,2000,1,MON,NL,86,169,20,48,16,0,4,16,2,2,12,34,0,1,1,0,1
15,2001,ANA,AL,nievejo01,SS,232000,2000,1,CHN,NL,82,198,17,42,6,3,5,24,1,1,11,43,1,0,2,2,8
800,2001,SLN,NL,polanpl01,SS,320000,2000,1,SLN,NL,118,323,50,102,12,3,5,39,4,4,16,26,0,1,7,3,8
563,2001,NYA,AL,sojolu01,SS,500000,2000,1,PIT,NL,61,176,14,50,11,0,5,20,1,0,11,16,3,1,0,1,6
63,2001,ATL,NL,abbotku01,SS,600000,2000,1,NYN,NL,79,157,22,34,7,1,6,12,1,1,14,51,2,1,0,1,2
399,2001,KCA,AL,alicelu01,SS,800000,2000,1,TEX,AL,139,540,85,159,25,8,6,63,1,3,59,75,1,5,7,7,13
542,2001,NYA,AL,bellicl01,SS,230000,2000,1,NYA,AL,98,184,33,38,8,2,6,21,5,0,17,48,1,5,1,2,1
5,2001,ANA,AL,gilbe01,SS,350000,2000,1,ANA,AL,110,301,28,72,14,1,6,23,10,6,30,59,0,5,5,2,7
706,2001,SDN,NL,jacksda04,SS,350000,2000,1,SDN,NL,138,470,68,120,27,6,6,37,28,6,62,108,2,3,4,2,7
473,2001,MIL,NL,lopezlu02,SS,700000,2000,1,MIL,NL,78,201,24,53,14,0,6,27,1,2,9,35,1,5,8,2,2
767,2001,SFN,NL,martira03,SS,300000,2000,1,SFN,NL,88,189,30,57,13,2,6,25,3,2,15,22,1,1,4,1,6
623,2001,OAK,AL,menecfr01,SS,225000,2000,1,OAK,AL,66,145,31,37,9,1,6,26,1,4,20,45,0,1,1,2,1
120,2001,BAL,AL,morame01,SS,270000,2000,1,NYN,NL,79,215,35,56,13,2,6,30,7,3,18,48,3,2,2,5,3
432,2001,LAN,NL,bogarti01,SS,525000,2000,1,HOU,NL,110,304,32,63,9,2,7,33,1,1,35,56,7,3,5,4,15
352,2001,FLO,NL,gonzaal02,SS,295000,2000,1,FLO,NL,109,385,35,77,17,4,7,42,7,1,13,77,0,2,5,2,7
443,2001,LAN,NL,grudzma01,SS,4000000,2000,1,LAN,NL,148,617,101,172,35,6,7,49,12,3,45,81,0,9,2,3,16
730,2001,SEA,AL,guillca01,SS,285000,2000,1,SEA,AL,90,288,45,74,15,2,7,42,1,3,28,53,0,2,7,3,6
474,2001,MIL,NL,loretma01,SS,3500000,2000,1,MIL,NL,91,352,49,99,21,1,7,40,0,3,37,38,2,1,8,1,9
276,2001,CLE,AL,vizquom01,SS,3000000,2000,1,CLE,AL,156,613,101,176,27,3,7,66,22,10,87,72,0,5,7,5,13
62,2001,ARI,NL,womacto01,SS,4000000,2000,1,ARI,NL,146,617,95,167,21,14,7,57,45,11,30,74,0,5,2,5,6
491,2001,MIN,AL,guzmacr01,SS,325000,2000,1,MIN,AL,156,631,89,156,25,20,8,54,28,10,46,101,1,2,7,4,5
304,2001,COL,NL,shumpte01,SS,725000,2000,1,COL,NL,115,263,52,68,11,7,9,40,8,4,28,40,1,6,0,3,3
317,2001,DET,AL,cruzde01,SS,3525000,2000,1,DET,AL,156,583,68,176,46,5,10,82,1,4,13,43,2,4,8,7,25
